actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,8,1,6,5,1,2,1,4,2,1,0,2,0,0,2,2,0,3,2,7,0,3,1,1
above_inside,1,3,1,1,1,1,0,0,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
above_left,1,7,4,8,4,6,3,0,5,1,1,0,0,0,1,0,6,0,0,2,3,0,2,3,1
above_outside,0,2,1,3,3,1,0,0,0,2,0,0,1,0,1,1,5,2,1,2,2,0,0,1,0
above_right,0,6,4,2,4,1,1,1,0,1,1,0,0,0,0,0,3,1,1,0,1,0,1,1,0
below_center,5,23,11,20,5,20,14,11,14,11,4,0,2,9,0,8,7,8,6,9,17,0,13,10,2
below_inside,5,5,5,20,0,7,10,5,5,10,4,1,3,2,0,5,13,3,2,1,10,2,1,2,1
below_left,4,29,11,7,7,12,6,2,12,13,1,0,2,1,1,2,3,6,4,4,13,1,2,6,1
below_outside,2,9,7,4,2,7,4,2,8,4,4,0,2,1,0,1,2,1,5,1,4,0,3,3,2
below_right,4,15,11,27,3,13,8,6,6,10,6,1,3,3,2,11,12,5,6,3,14,0,9,3,2
high_center,4,8,5,9,3,6,2,4,4,2,3,0,5,0,2,3,4,2,1,4,8,0,1,2,2
high_inside,1,5,3,6,2,0,1,0,2,0,1,0,0,1,1,1,1,2,1,0,3,0,0,0,3
high_left,1,9,4,10,0,4,5,1,5,4,2,1,2,1,1,1,9,0,1,3,6,0,2,4,0
high_outside,2,12,5,8,2,5,3,0,2,1,0,0,0,1,0,1,4,4,1,2,7,0,2,1,0
high_right,4,11,4,8,2,2,1,2,2,2,3,0,3,0,0,3,11,2,2,3,10,0,4,2,2
low_center,6,16,13,20,3,4,9,4,8,17,4,1,2,3,2,9,10,4,5,0,11,2,2,5,1
low_inside,3,2,5,8,0,3,4,1,0,2,1,1,0,0,1,1,5,1,0,3,10,0,1,0,1
low_left,5,16,15,4,5,11,11,6,10,7,2,0,5,3,0,3,11,2,3,2,10,1,2,11,4
low_outside,4,15,7,6,2,7,9,3,7,3,0,1,2,2,1,3,2,0,3,1,10,0,0,5,0
low_right,1,4,6,9,2,6,1,3,6,3,3,0,2,2,0,5,13,0,0,4,13,0,2,5,1
middle_center,3,13,8,11,6,9,6,3,1,5,5,1,5,1,2,5,14,6,2,2,15,0,4,5,2
middle_inside,0,10,0,7,2,4,3,0,3,6,2,0,2,0,0,1,4,3,1,1,8,1,0,3,3
middle_left,3,25,13,12,6,2,4,2,7,5,4,1,4,1,3,2,9,3,6,2,9,0,2,5,3
middle_outside,4,10,5,6,1,8,9,1,5,5,1,1,5,1,0,6,8,2,4,3,9,0,2,4,0
middle_right,1,12,4,7,2,5,4,3,6,4,0,2,0,2,1,1,19,2,1,1,22,0,1,2,0
