actual/predicted,above_center,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,0,0,2,1,3,3,0,1,0,7,2,0,4,0,2,0,0,0,3,0,0,0,1
above_left,7,0,0,0,3,4,1,2,1,0,2,0,0,1,0,2,1,1,1,0,0,1,0,2
above_outside,8,2,0,2,1,2,1,0,1,0,5,2,1,0,0,2,0,0,1,1,0,0,0,1
above_right,3,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1
below_center,27,4,0,26,9,19,16,10,3,5,9,9,4,11,18,9,3,15,10,15,4,18,6,22
below_inside,17,4,0,12,9,18,8,2,3,3,11,4,4,3,4,6,1,3,7,2,1,9,2,6
below_left,30,2,0,9,8,13,11,5,7,4,7,4,2,9,6,5,1,3,3,4,2,7,2,3
below_outside,10,5,2,8,3,7,3,3,1,2,3,1,1,3,8,0,3,3,0,1,0,1,5,4
below_right,29,1,1,11,15,23,5,4,4,5,11,7,5,5,3,7,3,7,7,7,3,2,4,13
high_center,17,0,0,5,2,6,4,0,0,1,4,1,2,3,3,2,2,3,2,1,0,1,4,3
high_inside,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
high_left,11,2,0,5,1,4,4,4,0,2,8,1,0,9,4,5,0,3,0,3,1,4,3,5
high_outside,10,0,0,1,3,3,2,1,4,0,1,0,4,5,6,3,1,4,1,0,0,3,3,7
high_right,5,0,1,2,2,7,1,3,1,0,5,2,0,0,2,0,0,0,0,1,1,1,2,3
low_center,28,4,1,7,12,15,7,2,3,9,12,4,5,7,10,7,3,9,10,2,5,11,9,11
low_inside,12,2,0,2,1,8,2,0,1,0,4,4,1,0,5,1,0,0,1,0,1,0,0,2
low_left,40,2,1,11,9,11,4,4,4,6,10,3,3,10,6,11,4,5,10,7,4,4,9,14
low_outside,28,0,0,11,3,6,6,2,1,2,3,2,1,7,2,0,1,9,1,2,1,5,3,2
low_right,21,0,1,4,8,10,4,1,0,0,9,5,2,3,7,7,2,5,5,5,3,1,2,7
middle_center,36,1,1,6,10,13,4,4,5,3,18,3,3,4,5,7,1,4,8,4,2,6,1,11
middle_inside,9,1,0,0,2,2,1,0,1,1,1,1,1,2,0,2,1,1,0,1,1,0,0,1
middle_left,41,0,0,6,10,15,6,2,8,3,9,9,8,9,10,6,3,7,6,6,3,6,8,12
middle_outside,26,0,1,7,6,5,4,0,5,3,3,3,2,5,8,2,1,3,6,4,1,6,3,7
middle_right,21,0,3,4,2,12,4,0,0,1,6,0,4,2,3,3,1,1,4,3,0,2,3,6
