actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,1,3,1,3,5,0,1,1,17,0,0,1,0,2,5,3,8,1,0,1,0,3
above_inside,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
above_left,0,0,0,4,3,0,4,4,0,0,3,15,0,0,0,2,2,2,3,6,2,0,1,0,5
above_outside,2,0,1,1,0,0,8,2,0,3,0,6,1,1,0,1,2,2,1,10,1,0,0,0,2
above_right,0,0,0,0,0,1,0,2,0,2,0,8,0,0,0,1,1,1,0,1,0,0,0,0,1
below_center,0,0,1,6,1,9,26,19,3,13,4,15,1,6,0,2,0,8,5,13,5,2,3,3,9
below_inside,0,1,0,11,2,0,44,19,1,14,6,19,1,2,2,3,0,9,3,30,5,5,5,4,9
below_left,0,1,1,5,1,3,9,12,0,8,1,10,1,4,0,1,0,4,3,10,2,1,1,4,1
below_outside,1,0,0,0,1,4,9,5,0,5,1,3,0,0,0,1,0,1,2,4,0,0,0,1,0
below_right,1,0,0,7,0,7,38,14,0,17,6,19,4,3,1,3,4,14,2,11,4,3,3,2,4
high_center,0,0,1,6,1,2,11,7,2,4,5,24,2,2,1,2,1,8,6,20,5,0,1,2,8
high_inside,0,0,0,3,1,1,5,0,0,1,0,3,1,1,0,0,0,0,1,3,0,0,0,0,3
high_left,0,1,2,4,1,2,8,4,2,4,2,17,1,0,0,2,0,8,7,16,6,1,4,0,2
high_outside,0,0,0,0,2,2,4,8,0,2,1,7,0,1,0,1,0,4,2,5,2,0,2,1,2
high_right,0,0,0,1,0,0,4,3,0,2,2,14,0,0,0,1,0,5,0,6,3,0,0,2,4
low_center,0,0,0,3,2,0,12,17,0,7,5,25,2,2,1,4,0,11,9,19,7,1,2,4,5
low_inside,0,1,0,2,1,1,11,9,0,5,3,11,1,0,0,2,1,1,1,11,1,2,1,4,3
low_left,0,1,0,1,1,1,9,11,0,7,2,11,1,2,0,4,0,3,3,10,1,3,0,2,6
low_outside,0,0,0,1,1,2,4,2,1,5,0,5,0,1,0,1,1,3,0,2,2,0,2,1,3
low_right,0,1,0,3,2,1,16,12,0,4,0,18,2,2,0,1,1,8,5,15,1,3,6,3,8
middle_center,2,1,1,9,2,4,16,11,1,6,5,27,1,2,0,3,2,11,7,33,5,0,5,1,7
middle_inside,0,0,0,3,0,2,10,4,1,5,0,11,1,0,0,0,0,2,1,4,0,0,0,2,1
middle_left,1,0,0,6,1,4,3,9,0,5,2,27,1,2,0,2,1,5,6,15,3,1,4,1,3
middle_outside,1,0,0,4,1,2,7,9,1,6,2,3,0,0,0,0,2,4,3,7,1,0,2,0,0
middle_right,0,0,0,6,0,1,13,9,0,8,2,28,1,1,0,2,3,8,2,20,4,0,4,2,6
