actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,10,1,1,0,4,3,6,15,1,10,0,0,3,2,9,0,1,7,2,2,0,0,2,0
above_inside,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,2,2,1,1,0,1,0,0,1,0
above_left,0,2,0,0,0,1,2,4,7,2,6,0,1,0,0,3,3,1,2,1,0,0,1,2,2
above_outside,0,2,0,0,0,1,0,4,4,0,1,1,1,1,0,2,0,1,5,1,0,0,0,1,0
above_right,0,4,0,1,0,2,1,4,8,2,3,0,1,1,0,6,2,1,9,2,2,0,0,1,1
below_center,0,7,2,3,0,11,3,4,19,1,4,1,1,1,1,11,0,5,7,2,3,0,0,6,2
below_inside,1,14,1,4,0,13,26,4,36,2,7,2,3,1,0,19,15,6,39,12,8,4,3,12,8
below_left,2,2,0,1,0,0,1,2,6,0,3,1,1,1,0,2,0,1,3,0,0,0,0,1,1
below_outside,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0
below_right,0,7,1,3,0,7,11,11,30,4,6,2,2,1,2,11,2,11,12,6,6,2,0,8,6
high_center,0,5,0,0,0,6,2,3,18,4,11,5,0,2,1,11,3,2,4,1,6,0,1,4,0
high_inside,0,8,0,0,0,2,1,2,6,2,3,0,0,2,0,2,0,0,4,0,0,0,0,1,1
high_left,0,8,0,1,0,5,3,2,9,0,2,0,1,3,2,8,1,2,6,0,3,0,0,5,1
high_outside,0,1,0,1,0,4,1,2,7,1,2,0,0,0,1,2,0,1,6,2,2,0,1,5,3
high_right,0,5,1,2,0,8,4,5,18,0,14,2,1,0,1,9,5,7,7,5,5,0,2,5,1
low_center,1,6,1,2,1,5,5,9,23,2,11,2,1,5,1,4,5,4,12,2,4,0,1,6,4
low_inside,1,7,0,2,0,2,10,1,11,0,8,4,1,1,1,8,7,4,10,7,4,1,1,7,5
low_left,0,2,0,3,0,1,2,4,12,1,1,2,1,1,0,7,2,3,11,0,1,0,0,9,1
low_outside,0,1,0,1,0,2,1,2,10,0,2,0,0,0,0,2,0,0,4,0,1,1,0,1,0
low_right,0,7,0,4,0,9,9,6,12,2,11,5,5,4,2,7,7,3,13,2,5,3,3,8,1
middle_center,0,8,0,4,0,3,3,3,22,0,4,0,2,4,0,9,3,1,15,7,11,3,5,6,2
middle_inside,0,6,1,6,0,1,5,4,6,0,8,1,1,0,0,4,5,0,7,5,4,1,1,4,0
middle_left,1,7,0,2,0,4,1,5,12,3,2,1,4,1,1,7,3,1,15,2,1,0,0,4,0
middle_outside,0,4,0,0,0,0,1,1,14,1,3,1,1,1,0,3,0,4,2,1,1,0,0,1,0
middle_right,2,11,0,0,0,6,7,9,21,3,14,5,2,7,2,11,5,0,4,3,4,0,1,5,4
