actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,6,2,1,3,0,3,6,6,2,3,4,1,1,6,2,1,0,4,0,2,1,8,2,0
above_inside,1,4,0,0,1,0,2,0,1,1,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0
above_left,0,11,3,0,11,0,2,2,3,1,7,5,1,2,3,0,0,0,2,1,4,1,4,0,1
above_outside,1,14,3,0,11,2,2,5,2,0,4,1,2,1,0,1,1,1,6,0,4,4,0,2,1
above_right,0,4,1,0,3,0,1,1,1,0,3,2,0,0,1,0,1,0,1,1,2,1,1,1,1
below_center,0,20,2,0,10,0,3,3,5,1,4,6,4,0,4,1,4,0,6,2,3,3,5,6,5
below_inside,2,36,8,0,17,8,11,4,3,2,14,6,11,2,19,2,9,2,5,3,5,16,5,4,8
below_left,1,6,3,0,1,1,1,1,0,0,1,1,2,0,1,0,1,0,1,0,0,1,1,2,2
below_outside,0,4,0,0,1,0,1,0,1,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0
below_right,1,21,5,0,9,1,6,2,4,1,3,5,4,1,4,2,12,0,6,2,7,3,4,4,8
high_center,0,15,2,0,14,2,5,5,7,1,7,3,5,1,4,0,7,0,9,2,8,6,6,7,2
high_inside,0,9,2,0,0,0,1,1,1,0,1,2,0,0,3,1,4,0,2,0,0,1,3,0,2
high_left,0,18,1,0,6,2,3,6,2,2,10,10,7,2,5,1,1,1,3,0,7,5,6,3,3
high_outside,1,11,4,0,6,0,3,7,6,1,6,5,5,1,6,0,1,0,5,2,1,4,2,2,2
high_right,1,16,1,0,2,1,4,3,4,0,7,5,3,2,6,1,7,0,5,1,2,4,0,3,3
low_center,1,17,0,2,18,3,3,4,3,1,11,3,5,1,5,3,1,0,6,0,9,9,4,3,4
low_inside,0,15,3,1,8,1,8,3,4,3,5,6,3,1,2,0,13,2,9,4,7,4,2,1,6
low_left,1,14,2,0,5,0,6,5,5,1,1,4,3,0,6,1,4,0,5,0,6,2,2,4,4
low_outside,0,10,3,1,3,2,1,2,3,0,2,3,1,0,2,0,2,1,0,0,5,0,2,1,2
low_right,1,24,1,2,17,0,5,6,8,3,17,3,3,0,10,1,11,0,12,2,8,6,3,1,6
middle_center,1,28,1,0,12,1,8,6,11,4,13,8,6,1,13,3,12,1,10,3,10,10,11,5,4
middle_inside,1,13,1,1,6,3,10,3,3,1,3,3,2,0,4,0,8,1,4,2,4,4,1,4,3
middle_left,1,11,7,0,8,1,5,6,9,0,4,7,2,1,10,3,5,0,6,3,7,5,6,1,6
middle_outside,1,8,1,3,2,0,1,1,6,1,6,2,5,0,5,0,1,0,4,1,4,4,4,2,1
middle_right,0,24,7,2,13,2,5,4,9,1,10,8,7,1,4,2,16,2,7,2,9,1,4,3,8
