actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,0,3,0,2,3,2,2,0,3,1,1,1,0,0,1,0,2,0,0,1,3,0
above_inside,0,0,0,0,3,0,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
above_left,1,0,2,1,3,1,5,2,2,1,0,2,0,3,1,0,0,2,2,2,0,0,0,0,0
above_outside,0,0,0,1,4,0,3,0,3,1,0,2,0,1,0,1,0,1,0,4,0,0,0,1,0
above_right,0,0,0,0,3,1,3,0,2,2,0,2,1,1,0,2,0,1,0,1,0,0,0,0,0
below_center,3,0,3,0,14,2,23,4,15,6,1,14,2,2,3,2,6,6,3,19,2,1,3,1,1
below_inside,5,0,5,0,10,3,37,2,6,9,2,2,2,0,0,3,3,4,0,11,3,1,2,5,2
below_left,7,0,6,1,12,2,10,7,19,10,2,11,1,0,0,4,4,4,4,7,2,1,2,2,0
below_outside,3,0,1,0,7,1,5,4,7,2,0,2,2,0,0,0,0,2,0,2,2,0,2,2,1
below_right,6,1,3,0,3,0,20,5,12,6,1,11,4,2,1,5,4,6,0,11,2,0,3,5,0
high_center,0,0,2,1,12,0,10,4,4,3,1,4,4,4,0,0,2,5,3,9,0,0,1,1,1
high_inside,0,1,5,0,4,0,3,1,4,2,0,2,2,2,2,0,0,2,2,1,0,0,2,0,1
high_left,2,0,0,1,2,1,10,2,6,2,0,11,2,4,1,1,0,2,2,8,1,0,0,0,0
high_outside,3,1,3,2,7,0,4,0,11,3,1,5,1,0,1,0,0,3,1,5,3,0,2,3,0
high_right,1,0,2,0,7,0,5,1,8,3,0,2,1,0,1,3,4,4,0,7,2,0,2,0,0
low_center,3,2,3,0,8,4,30,4,13,8,1,12,2,0,0,5,3,12,1,16,3,2,5,4,2
low_inside,1,2,2,0,9,0,24,3,4,3,0,3,1,1,0,3,1,2,0,24,4,1,0,2,1
low_left,3,1,1,0,15,1,13,1,14,7,0,18,0,6,1,5,4,15,5,7,1,1,4,4,1
low_outside,1,2,1,0,14,1,11,6,10,4,0,12,1,4,0,4,1,7,6,6,1,2,0,3,0
low_right,2,0,1,0,6,4,17,1,6,4,0,11,5,2,1,3,2,6,1,30,1,0,1,0,3
middle_center,3,2,5,0,5,3,12,1,10,4,2,14,2,4,2,4,5,10,5,18,3,0,0,5,1
middle_inside,2,0,1,0,5,1,9,2,3,4,0,6,3,1,1,1,2,3,0,12,0,0,3,1,1
middle_left,2,1,4,0,6,1,12,1,14,2,1,11,2,3,0,0,4,7,3,8,0,0,1,3,0
middle_outside,2,0,4,0,14,1,13,3,14,1,0,13,3,4,4,3,2,12,2,8,1,0,1,4,1
middle_right,4,1,3,1,6,2,10,1,5,6,2,10,2,0,0,1,1,7,1,18,4,1,1,3,2
