actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,2,0,0,2,3,8,0,3,0,2,0,1,3,3,0,3,1,1,4,4,3,2,1,3
above_inside,3,3,0,2,3,4,16,1,4,7,1,0,3,0,5,2,9,2,2,3,8,8,1,3,4
above_left,2,0,0,0,0,0,7,0,0,0,1,1,1,0,4,0,1,0,0,3,2,4,0,2,0
above_outside,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
above_right,5,4,0,1,4,4,21,0,4,0,0,3,4,0,14,3,5,3,2,6,14,2,1,2,8
below_center,7,6,3,1,3,9,23,7,6,6,0,2,6,2,13,3,8,1,3,5,17,14,10,2,9
below_inside,1,1,0,1,1,4,10,1,0,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,0
below_left,6,1,0,1,7,12,29,11,13,12,4,4,5,2,16,3,12,6,1,6,17,4,2,5,5
below_outside,13,2,1,0,3,5,17,2,8,5,1,4,3,4,17,1,4,8,3,10,15,3,1,10,6
below_right,3,3,0,1,4,4,7,2,2,5,0,2,2,1,7,1,4,2,1,5,4,2,2,2,3
high_center,9,1,1,0,4,5,17,0,4,4,1,1,3,1,17,3,7,4,4,10,15,7,3,5,5
high_inside,8,2,0,0,4,1,16,1,2,3,2,0,2,0,11,0,6,6,1,6,7,6,3,4,3
high_left,5,1,0,2,3,2,9,0,1,1,1,2,2,0,9,2,3,2,1,3,5,0,4,1,2
high_outside,2,0,0,0,1,0,5,1,0,0,0,1,0,0,1,0,3,0,0,4,0,0,0,1,3
high_right,11,4,1,0,4,5,30,3,4,2,1,0,3,0,9,2,3,6,2,8,14,8,0,4,4
low_center,14,2,1,2,5,6,25,7,9,4,2,3,9,3,19,2,6,3,4,8,16,6,2,0,10
low_inside,3,2,1,0,4,0,12,3,0,5,0,1,1,0,10,1,6,3,1,3,2,3,0,1,2
low_left,11,2,0,1,2,8,8,3,4,6,2,3,8,1,14,2,6,3,6,9,14,6,3,3,3
low_outside,9,2,0,0,3,1,2,3,4,3,1,0,2,1,4,0,2,2,0,7,8,4,2,2,9
low_right,11,1,0,2,5,4,18,2,6,2,1,4,3,1,14,3,7,1,0,5,6,5,2,4,4
middle_center,9,0,3,2,2,8,24,3,8,6,1,2,5,0,26,4,4,5,4,17,16,10,6,8,13
middle_inside,3,6,0,0,5,5,19,2,2,5,0,0,1,1,9,1,9,2,2,7,12,2,4,3,5
middle_left,10,2,0,0,1,3,18,5,5,3,1,0,4,0,9,3,1,3,0,12,10,2,0,5,4
middle_outside,2,1,0,1,0,3,5,1,3,0,0,0,0,0,7,1,1,2,2,1,3,4,0,0,5
middle_right,12,1,1,1,3,5,23,3,7,9,4,1,9,1,10,3,12,7,0,12,16,5,5,8,9
