actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,2,1,2,5,3,10,1,13,1,2,4,6,6,8,6,2,4,5,2,1,9,5,0,3
above_inside,1,0,0,0,1,2,2,0,7,0,1,2,2,2,0,4,1,0,2,0,2,6,1,0,1
above_left,6,2,0,1,1,1,12,2,6,0,1,2,2,3,1,16,7,1,5,0,3,3,2,1,7
above_outside,0,1,0,3,0,6,1,0,4,0,1,0,0,5,0,6,0,4,3,0,1,1,4,0,0
above_right,4,3,0,1,2,5,5,3,10,2,1,3,2,5,2,3,5,2,4,0,2,6,3,0,2
below_center,4,0,3,0,1,4,8,2,15,4,1,3,1,6,2,14,2,7,8,0,1,5,1,1,2
below_inside,3,3,4,0,3,2,17,2,17,1,7,4,2,7,7,9,7,6,4,2,5,9,6,3,1
below_left,2,0,1,1,0,2,1,2,7,2,0,0,1,1,0,6,1,3,5,0,1,1,6,0,1
below_outside,1,0,0,0,0,0,0,0,7,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,1
below_right,3,1,3,0,1,6,10,3,28,2,4,3,2,7,2,14,3,11,6,0,3,7,5,2,4
high_center,5,3,0,4,2,1,10,2,13,2,3,3,0,6,3,14,6,12,3,0,5,11,10,3,1
high_inside,1,0,2,1,0,2,3,0,6,2,3,7,1,6,4,3,2,2,3,2,4,10,3,0,3
high_left,0,2,1,2,3,4,7,1,7,1,1,2,2,8,0,13,7,7,5,0,3,12,2,1,5
high_outside,0,0,3,1,1,2,2,0,7,0,1,1,0,6,0,7,6,3,3,0,2,0,1,0,1
high_right,4,4,2,1,0,5,8,2,9,1,4,4,2,7,14,11,5,5,8,1,3,14,4,0,3
low_center,3,1,1,2,2,4,5,0,16,0,2,4,2,8,2,16,6,7,8,2,6,5,4,1,2
low_inside,3,1,1,3,1,6,9,0,9,1,1,2,0,6,6,6,6,1,2,2,3,6,1,0,3
low_left,2,1,2,3,1,2,4,0,8,3,0,0,0,6,0,10,3,6,4,1,1,4,6,0,6
low_outside,2,0,0,0,0,1,3,0,4,1,0,0,1,2,0,6,1,5,3,1,1,1,2,0,1
low_right,2,3,3,1,4,3,4,1,5,1,2,1,3,5,1,14,3,10,2,1,1,7,4,0,4
middle_center,4,3,0,2,1,4,8,1,19,1,4,1,6,10,2,19,6,13,2,4,1,7,7,2,5
middle_inside,0,4,2,1,2,1,7,0,8,1,3,5,1,7,2,2,4,1,3,1,2,7,5,0,2
middle_left,3,1,1,1,0,1,5,0,11,0,5,3,5,7,2,16,4,5,3,0,4,7,1,1,3
middle_outside,0,0,1,0,0,1,2,0,7,0,0,0,0,4,0,6,3,2,3,0,1,2,0,0,0
middle_right,5,0,1,2,3,2,3,3,12,1,7,4,6,5,5,7,5,1,3,1,7,5,2,1,4
