actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,5,0,4,12,1,1,0,2,0,1,5,3,1,0,0,5,0,0,0,1,4,2,0,0
above_inside,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
above_left,2,12,0,1,10,1,1,0,0,0,1,2,4,8,0,0,2,1,0,0,0,6,2,0,0
above_outside,1,4,0,6,16,0,0,0,5,0,2,1,3,7,0,0,9,1,0,1,0,2,3,0,0
above_right,1,2,0,0,8,0,2,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1
below_center,6,13,0,7,31,0,0,0,10,0,1,2,0,3,0,1,21,1,0,1,1,4,9,0,0
below_inside,1,10,0,4,39,0,4,0,3,0,2,6,1,4,0,0,21,3,0,0,0,7,6,0,1
below_left,2,14,0,7,36,5,0,0,6,1,1,0,0,6,0,1,12,1,0,1,1,7,16,0,1
below_outside,4,5,0,2,9,2,1,0,5,0,0,2,4,1,0,1,6,0,0,0,0,5,2,0,0
below_right,1,9,0,6,22,1,1,0,1,0,0,0,2,1,0,3,15,1,0,0,0,3,11,0,0
high_center,1,5,0,7,23,4,1,0,3,2,2,3,6,7,0,0,7,2,0,1,1,7,20,0,2
high_inside,0,2,0,1,4,1,5,0,1,1,1,1,1,1,0,0,3,0,0,0,0,0,1,0,0
high_left,3,6,1,5,24,2,2,0,2,0,8,3,4,7,0,0,10,2,0,0,0,3,15,0,1
high_outside,2,6,0,6,18,0,1,0,3,0,6,1,5,7,0,2,16,4,0,0,0,2,11,0,0
high_right,0,7,0,2,21,0,0,0,5,0,3,2,1,1,0,0,7,2,0,1,1,3,5,0,0
low_center,3,6,0,4,26,1,1,0,3,0,5,2,12,16,0,3,14,4,0,1,2,4,16,0,2
low_inside,3,6,1,2,19,2,4,0,2,1,3,7,3,1,0,0,10,3,0,0,0,6,5,0,0
low_left,3,9,0,10,25,2,2,0,7,0,2,3,1,10,0,2,17,1,0,0,2,9,23,0,0
low_outside,4,10,0,9,20,3,1,0,10,1,1,4,2,4,0,1,10,2,0,0,1,4,9,0,0
low_right,3,7,1,5,15,4,2,0,3,0,3,3,1,5,0,1,9,3,0,0,1,3,13,0,0
middle_center,2,9,0,8,31,4,1,0,6,0,5,1,5,13,0,2,22,4,0,1,2,6,13,0,1
middle_inside,1,3,0,0,15,0,2,0,1,0,2,3,0,3,0,0,6,1,0,0,0,6,0,0,1
middle_left,6,9,0,10,31,3,0,0,4,0,5,2,5,9,0,5,17,4,0,0,2,7,20,0,2
middle_outside,5,11,0,11,20,3,3,0,2,0,2,2,3,11,1,1,11,4,0,1,1,6,15,0,0
middle_right,2,8,1,3,13,0,0,0,2,1,1,4,1,6,0,2,10,2,0,0,1,4,13,0,2
