actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,6,0,1,4,10,2,1,11,3,1,3,3,2,3,2,4,3,5,1,3,2,1,2,0
above_inside,0,1,0,0,1,1,1,1,2,0,0,3,1,0,1,0,3,0,1,1,0,0,0,0,0
above_left,0,4,0,1,5,2,3,3,7,1,2,1,3,3,3,0,5,2,6,5,7,3,1,1,1
above_outside,1,5,0,2,2,1,3,1,5,3,1,0,6,1,2,3,2,2,5,3,2,1,3,1,1
above_right,2,1,1,2,3,6,4,4,3,1,0,1,1,0,5,0,2,2,5,1,5,1,4,3,1
below_center,1,3,1,2,1,6,3,3,12,4,3,4,1,3,1,3,5,1,8,2,5,0,1,2,1
below_inside,5,4,1,3,3,3,6,1,15,9,2,2,10,2,5,0,7,5,6,9,8,2,2,8,6
below_left,1,1,0,0,0,3,0,4,12,2,1,1,1,0,0,0,2,1,8,1,0,0,2,0,0
below_outside,1,1,0,0,1,1,0,1,5,1,0,0,0,0,2,1,0,1,0,1,1,0,3,3,0
below_right,1,2,0,1,1,6,4,5,11,1,3,3,4,3,4,2,5,2,13,9,6,1,6,2,4
high_center,2,4,2,2,0,4,3,1,12,3,1,1,7,4,8,4,12,5,8,11,7,2,5,3,8
high_inside,0,0,0,3,1,5,1,1,6,1,2,2,4,1,2,1,1,2,5,4,3,0,0,3,0
high_left,0,2,0,3,1,7,2,4,13,5,0,4,11,1,5,3,3,3,7,8,8,0,5,4,4
high_outside,1,2,0,2,0,5,1,0,8,3,0,0,6,2,4,2,4,0,10,1,4,1,4,2,3
high_right,3,3,0,2,2,9,1,5,6,6,1,3,7,1,4,0,3,1,9,8,6,1,6,2,4
low_center,1,9,0,3,0,10,2,4,19,5,3,0,9,2,3,4,4,2,16,6,8,1,7,8,3
low_inside,2,4,0,4,2,5,5,3,8,3,0,1,9,0,2,4,10,2,7,5,4,2,2,4,1
low_left,0,4,0,0,1,1,0,4,17,3,0,0,6,1,3,2,2,1,10,5,9,0,2,0,1
low_outside,1,4,0,0,1,2,1,1,5,0,1,0,3,1,0,0,1,1,4,0,1,0,1,1,0
low_right,0,4,0,2,1,7,2,2,8,2,0,0,18,4,2,3,10,4,18,13,11,1,3,3,9
middle_center,4,3,1,2,1,9,2,4,13,6,3,4,16,5,8,5,6,4,22,8,14,1,7,14,12
middle_inside,5,1,0,2,0,1,2,1,7,2,2,1,4,2,1,1,3,4,12,7,7,0,3,4,1
middle_left,4,3,2,0,1,4,4,3,14,5,2,2,13,4,5,2,0,4,7,8,10,0,6,5,6
middle_outside,0,1,0,2,1,3,0,0,7,4,0,1,8,3,0,0,1,2,8,3,3,1,1,4,1
middle_right,7,3,2,6,1,3,2,3,13,6,2,3,15,7,7,3,4,0,9,15,11,2,9,8,12
