actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,7,0,1,3,1,2,3,2,4,0,2,1,2,4,0,1,0,1,0,0,2,2,1,0
above_inside,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
above_left,2,1,0,0,4,1,1,2,4,1,0,3,0,2,2,3,0,0,6,0,1,3,3,5,0
above_outside,3,3,5,4,1,1,1,4,4,1,1,7,2,3,2,0,1,1,5,0,3,2,3,3,0
above_right,0,4,2,0,1,0,0,1,2,0,0,3,1,1,1,0,0,2,0,1,0,0,2,0,0
below_center,1,2,12,1,5,0,5,4,9,4,2,18,5,1,6,2,0,5,1,0,7,2,2,2,1
below_inside,3,11,14,1,15,5,12,5,18,8,3,25,9,7,13,1,6,11,5,2,9,11,4,1,6
below_left,0,4,5,1,2,2,2,4,4,2,0,12,1,2,2,1,0,1,1,1,2,0,1,0,0
below_outside,1,1,2,0,0,1,0,1,4,0,0,4,1,1,1,1,0,0,1,0,0,1,0,0,0
below_right,3,5,16,3,7,0,4,3,13,4,3,18,10,2,2,3,2,8,2,1,3,3,2,1,6
high_center,4,5,7,2,3,0,2,2,5,4,1,9,1,0,3,3,0,3,1,1,3,2,1,0,3
high_inside,3,2,2,0,0,0,2,1,1,1,0,3,0,0,0,0,2,0,0,0,2,1,0,1,0
high_left,2,4,3,0,3,0,1,2,6,2,0,13,3,4,4,0,0,1,4,1,3,5,3,0,2
high_outside,4,3,5,0,3,3,0,2,9,2,2,11,4,5,7,0,0,2,2,0,3,3,8,5,2
high_right,4,3,2,0,3,2,2,3,3,0,1,5,2,0,3,2,0,0,0,1,2,1,1,0,1
low_center,7,7,25,2,9,4,4,2,15,2,2,34,5,4,10,4,2,5,6,0,7,5,6,5,2
low_inside,5,7,8,0,13,2,6,6,12,2,0,16,0,1,9,2,1,2,1,1,2,3,5,1,2
low_left,2,3,10,0,6,1,4,3,6,3,2,18,3,3,5,2,3,2,1,1,7,0,3,0,2
low_outside,2,2,4,0,3,1,1,2,3,3,2,9,3,3,2,1,0,2,3,1,1,1,1,1,2
low_right,7,5,18,0,13,5,5,2,13,8,5,23,5,4,6,2,1,4,3,0,9,5,5,2,4
middle_center,6,2,11,2,8,1,4,7,8,4,0,20,3,3,7,2,2,6,3,0,6,4,4,3,0
middle_inside,2,4,2,2,3,0,3,2,5,3,1,11,2,0,1,0,3,1,0,0,0,1,1,1,0
middle_left,4,5,7,1,5,1,3,4,7,2,3,18,2,5,7,7,1,6,7,1,7,1,4,3,2
middle_outside,2,3,3,2,6,2,0,2,6,1,0,21,3,1,2,1,0,2,5,1,2,3,4,2,3
middle_right,4,6,10,2,4,3,5,4,11,4,0,16,4,2,4,2,0,1,2,1,1,5,1,6,3
