actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,11,3,6,1,3,4,0,4,5,0,2,0,0,3,2,1,2,8,2,0,0,0,6,3
above_inside,0,3,1,2,2,0,0,0,0,2,0,1,0,0,5,0,0,1,2,0,0,1,0,3,0
above_left,0,5,1,5,8,0,1,1,0,5,0,0,1,1,3,0,0,2,3,0,1,1,2,6,1
above_outside,2,2,0,0,1,1,2,0,2,3,0,1,0,2,3,0,0,0,0,0,1,1,1,1,0
above_right,1,5,1,10,4,1,3,0,1,2,0,0,1,0,4,2,2,2,3,5,2,2,0,2,0
below_center,2,5,8,10,13,1,6,1,5,9,1,4,2,0,9,5,5,3,12,12,3,4,4,10,2
below_inside,5,10,2,5,23,4,21,3,3,24,0,2,0,2,13,3,9,5,8,9,4,4,0,4,1
below_left,3,5,3,7,9,1,2,0,5,7,1,2,1,0,2,3,3,3,3,4,0,1,7,14,0
below_outside,1,1,3,4,5,1,2,0,4,1,0,0,0,0,1,0,0,2,1,0,0,2,1,3,0
below_right,5,8,7,13,10,2,13,1,6,9,1,5,0,0,6,6,8,4,8,8,2,1,3,10,1
high_center,0,4,3,5,1,2,4,0,2,4,0,3,0,0,13,4,2,4,6,4,2,0,4,7,2
high_inside,1,5,3,5,5,1,1,0,0,3,0,1,0,0,3,2,1,1,4,2,0,0,0,1,0
high_left,0,1,0,8,1,1,2,1,3,1,0,1,1,1,4,1,1,2,4,0,0,1,1,2,0
high_outside,0,4,1,6,6,0,2,0,0,0,0,2,0,0,4,1,0,1,4,1,0,0,2,4,0
high_right,1,15,4,6,4,1,6,2,1,8,0,2,0,0,9,1,2,2,8,4,0,0,1,5,1
low_center,3,5,2,8,12,2,6,1,1,12,0,2,2,5,3,5,6,5,9,13,2,0,4,15,1
low_inside,1,7,1,3,15,1,7,0,2,11,0,1,0,0,7,5,4,2,9,9,3,0,1,6,2
low_left,2,12,8,11,9,3,5,1,9,9,0,1,1,6,5,9,6,3,5,4,1,1,5,19,0
low_outside,0,9,3,12,4,0,5,0,4,8,0,3,0,1,8,1,4,1,6,5,0,3,1,20,2
low_right,1,8,3,5,5,2,9,1,0,15,0,4,1,0,7,2,12,1,8,10,5,2,3,7,0
middle_center,1,1,2,6,5,2,10,2,1,9,0,1,0,0,10,7,7,6,10,8,1,2,1,3,0
middle_inside,0,10,6,8,7,0,5,0,2,5,0,5,2,0,4,4,2,3,6,6,4,1,0,13,1
middle_left,1,3,4,16,7,1,4,2,2,9,0,2,2,1,8,10,2,4,12,4,2,1,4,18,0
middle_outside,1,4,7,6,7,1,4,0,3,12,3,3,0,1,7,4,3,5,8,4,1,2,3,12,0
middle_right,1,6,7,12,7,4,9,2,0,18,3,6,0,0,10,5,8,1,6,15,3,2,1,9,1
