actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,22,1,0,2,3,4,3,23,7,4,1,1,0,2,2,3,3,7,3,0,0,4,1,6
above_inside,1,3,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
above_left,4,7,3,0,0,3,2,1,18,0,3,10,1,3,1,2,4,3,8,5,2,1,3,1,5
above_outside,0,7,2,1,2,3,1,1,12,4,5,3,2,2,2,2,1,2,4,2,2,1,0,0,6
above_right,2,9,0,0,1,1,2,2,10,1,0,3,1,0,0,0,1,1,4,0,1,0,2,0,1
below_center,4,9,5,1,9,5,3,2,18,5,5,6,1,3,2,4,5,11,10,8,7,3,5,0,5
below_inside,3,7,3,0,6,6,14,1,16,4,1,3,1,1,2,4,8,8,4,4,2,5,3,0,4
below_left,2,14,1,1,5,2,3,1,22,3,0,1,1,1,1,5,5,4,7,4,1,3,5,3,4
below_outside,2,9,2,3,10,2,3,2,19,3,0,1,2,0,1,0,0,3,2,1,2,1,0,2,2
below_right,3,18,2,1,6,4,5,1,19,5,4,6,0,2,1,0,6,6,7,4,2,4,1,1,3
high_center,2,11,2,0,5,4,5,0,14,0,2,6,3,4,3,3,6,6,5,10,3,1,5,2,11
high_inside,1,1,2,0,1,0,1,0,5,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1
high_left,3,9,2,1,5,0,6,3,20,1,5,3,3,2,2,2,8,6,4,2,2,0,4,2,5
high_outside,1,9,1,2,2,2,4,1,11,2,2,1,2,1,2,1,1,11,10,3,2,2,0,0,3
high_right,0,3,0,1,1,1,2,0,10,0,1,0,3,0,2,2,2,0,4,5,1,2,1,1,1
low_center,3,20,3,2,3,0,6,2,26,2,6,4,4,0,1,1,9,8,10,7,2,1,3,2,8
low_inside,1,6,0,0,4,1,4,1,7,1,0,1,0,1,1,0,3,5,1,5,2,4,0,1,1
low_left,3,11,0,0,7,2,5,1,18,1,4,11,0,0,5,1,4,5,7,6,5,1,2,2,7
low_outside,2,13,4,1,7,1,5,2,20,1,5,5,1,1,2,4,3,4,12,5,1,1,0,2,4
low_right,0,10,0,0,4,3,4,1,17,2,4,3,1,1,2,0,5,14,3,4,1,3,1,1,7
middle_center,1,13,1,2,4,1,9,1,18,3,8,6,1,3,2,3,7,11,5,10,3,2,2,0,11
middle_inside,0,2,0,0,2,0,1,0,3,0,1,2,1,0,0,0,0,3,4,0,0,0,0,0,2
middle_left,1,14,2,0,7,5,6,3,20,5,3,9,6,0,3,5,11,11,8,8,7,1,1,1,5
middle_outside,2,4,2,3,7,4,6,0,21,2,4,5,2,2,4,3,1,9,17,6,3,2,1,3,6
middle_right,2,3,5,1,3,0,6,2,7,1,3,1,2,1,1,0,5,1,5,7,1,2,2,1,2
