actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,28,4,1,2,4,7,3,2,1,10,15,10,2,5,4,2,2,24,2,4,5,0,10,6
above_inside,1,7,2,0,0,0,0,0,0,0,5,3,3,3,2,2,1,0,9,0,2,3,0,2,1
above_left,1,26,7,0,3,1,3,2,3,4,13,9,9,2,9,3,0,2,23,2,5,5,0,17,9
above_outside,0,14,0,0,3,1,2,2,2,1,5,7,1,1,6,3,1,1,11,1,1,1,0,13,2
above_right,1,29,2,1,0,0,3,4,2,1,7,11,1,3,8,3,1,0,25,2,1,5,1,7,5
below_center,0,12,3,0,2,0,0,3,0,0,4,6,3,1,4,1,1,2,18,1,1,5,0,8,1
below_inside,3,18,1,0,2,1,3,0,0,0,10,12,4,0,10,2,2,0,7,3,2,10,1,4,1
below_left,1,7,1,0,0,3,1,1,1,0,1,1,1,0,2,1,2,0,8,0,1,2,1,3,1
below_outside,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,3,1
below_right,2,16,0,1,1,2,1,3,2,1,5,9,4,1,8,3,0,0,12,1,1,3,0,7,4
high_center,4,25,7,1,4,5,2,4,5,3,13,20,6,3,14,6,4,4,29,1,6,8,1,22,7
high_inside,0,14,1,0,3,1,2,3,3,0,6,11,3,1,5,0,0,0,7,1,1,6,1,3,6
high_left,1,12,3,0,1,1,3,4,5,2,6,7,3,3,10,3,2,3,19,1,3,3,1,13,4
high_outside,0,1,2,0,2,2,1,0,1,1,1,2,1,1,5,2,0,0,22,1,1,2,0,4,3
high_right,2,21,2,0,3,2,0,1,2,0,16,13,3,2,13,2,2,2,13,3,2,5,0,16,4
low_center,1,15,4,0,0,1,3,1,1,2,16,12,3,1,11,2,1,5,19,3,5,5,0,13,3
low_inside,2,21,2,0,3,1,1,0,0,2,10,6,1,1,7,1,0,1,9,2,1,5,1,1,3
low_left,1,7,2,0,1,1,0,2,2,1,2,4,3,2,1,4,0,1,17,3,0,1,1,15,1
low_outside,1,2,0,0,0,2,0,0,0,0,1,1,1,1,3,0,1,0,3,0,0,0,0,2,0
low_right,0,17,2,0,0,2,2,1,2,5,11,12,5,1,7,5,0,2,12,1,1,5,1,12,3
middle_center,1,22,3,0,2,2,4,5,0,3,18,13,12,3,7,7,1,3,33,1,3,6,1,17,5
middle_inside,1,21,2,0,0,6,0,0,0,0,8,12,4,2,11,0,1,0,10,0,0,6,0,6,3
middle_left,3,11,3,0,1,0,0,5,1,1,5,7,6,1,3,3,0,1,21,0,7,2,0,9,2
middle_outside,1,10,1,0,0,1,0,2,0,1,2,2,3,2,4,2,0,0,11,0,1,1,0,6,1
middle_right,6,28,1,0,3,2,2,4,1,2,12,14,8,3,12,1,1,2,16,2,3,12,1,16,4
