actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,2,0,1,0,0,8,2,7,3,0,0,0,4,0,0,4,0,1,1,2,5,0,5,0
above_inside,0,1,1,0,3,1,5,0,2,3,0,1,0,2,0,1,1,1,3,2,0,8,0,6,1
above_left,1,1,1,2,0,1,1,0,0,1,1,0,1,0,0,2,0,0,3,1,0,2,0,1,0
above_outside,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,2
above_right,1,1,0,0,1,2,0,1,0,2,1,0,0,3,0,0,4,2,1,0,0,9,1,8,3
below_center,1,7,1,1,4,8,21,4,12,4,4,3,1,20,1,7,17,1,17,13,3,27,3,27,3
below_inside,0,2,1,2,1,1,4,3,1,2,1,1,0,3,1,0,3,2,2,2,1,10,0,5,1
below_left,2,8,2,2,3,6,24,5,5,2,3,2,4,18,3,3,12,0,15,5,5,17,2,20,5
below_outside,2,5,1,3,7,3,18,8,9,6,2,2,6,8,1,3,6,4,14,5,2,9,0,28,3
below_right,1,4,2,2,2,2,16,1,0,5,2,3,4,7,1,3,10,0,5,5,2,17,1,17,0
high_center,3,3,0,2,2,1,10,1,4,0,1,0,1,8,0,1,6,0,3,3,1,10,0,5,1
high_inside,1,2,1,2,2,0,9,1,2,4,0,0,2,6,0,2,11,0,2,1,2,17,1,17,3
high_left,1,3,0,0,0,2,7,2,5,2,2,0,1,7,0,2,2,2,1,1,0,2,0,7,0
high_outside,1,0,1,1,1,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,1,1,0,1,0
high_right,0,1,0,0,1,3,6,2,5,5,1,4,3,8,0,2,4,1,4,8,0,9,2,11,1
low_center,2,6,1,3,4,3,17,4,10,4,1,3,4,6,0,3,8,2,10,2,3,26,1,20,2
low_inside,0,5,0,1,1,2,7,2,2,1,2,1,1,7,1,3,5,1,5,5,1,22,0,14,3
low_left,0,1,3,0,3,2,16,1,7,5,0,1,3,16,0,1,9,1,7,2,2,7,0,17,4
low_outside,3,1,1,3,0,1,4,1,3,1,1,0,2,7,0,1,1,0,2,3,0,4,0,9,0
low_right,2,3,2,4,6,3,13,4,6,2,1,3,3,15,0,2,13,0,7,1,6,29,1,20,0
middle_center,3,2,1,3,1,5,16,2,3,2,2,1,4,13,1,2,8,0,5,2,1,20,2,17,4
middle_inside,1,5,1,0,1,4,12,1,1,8,2,1,1,5,1,2,11,1,3,1,2,18,0,11,1
middle_left,0,3,2,1,0,1,10,2,2,1,0,0,1,10,0,3,9,0,6,3,1,8,0,14,1
middle_outside,1,0,0,1,2,0,2,0,3,5,0,1,1,6,0,0,1,0,4,0,0,2,0,11,2
middle_right,0,4,1,2,0,2,11,2,2,5,1,3,2,7,0,3,9,5,4,4,3,28,1,14,0
