actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,3,0,1,3,4,2,8,0,6,2,2,1,1,0,4,14,0,2,4,2,1,1,7,4
above_inside,0,0,0,1,0,1,1,4,0,1,0,2,0,0,0,2,2,0,1,1,0,0,0,0,0
above_left,2,0,0,0,3,4,2,3,0,2,0,3,0,2,0,3,2,1,2,0,0,1,1,3,2
above_outside,0,1,0,0,1,1,1,6,1,1,0,1,1,0,1,0,5,0,2,1,1,1,2,2,1
above_right,0,2,0,0,0,3,0,11,1,4,1,4,0,3,0,3,10,0,1,0,0,0,0,1,3
below_center,1,1,2,1,5,4,2,10,0,5,2,4,2,3,1,5,8,3,2,5,0,4,0,2,4
below_inside,2,4,1,0,8,4,3,25,0,12,2,9,3,3,2,10,23,0,4,8,2,4,2,3,10
below_left,0,1,2,1,1,3,0,14,1,3,2,2,1,3,1,4,4,0,3,0,0,0,0,1,2
below_outside,0,1,0,0,0,1,0,3,0,3,0,1,0,2,0,0,4,0,0,0,2,0,0,1,0
below_right,0,0,1,0,5,4,3,22,0,5,2,9,2,2,1,9,8,0,0,2,1,2,4,0,4
high_center,0,4,2,2,4,10,3,20,0,5,5,4,4,8,0,13,10,3,3,1,3,1,3,7,7
high_inside,0,4,1,0,1,2,1,7,0,1,0,3,0,3,0,4,8,1,2,1,1,0,0,1,2
high_left,2,1,2,2,3,4,0,11,0,8,1,3,1,3,2,10,8,0,0,3,2,2,3,7,4
high_outside,0,1,1,0,0,3,0,6,0,2,1,2,0,4,0,9,5,0,4,3,3,0,1,2,2
high_right,0,4,0,0,2,5,3,16,0,11,0,8,3,5,1,13,18,0,3,3,4,2,0,3,8
low_center,0,2,1,1,0,3,3,23,1,3,1,6,2,10,1,9,12,4,5,5,0,5,3,5,8
low_inside,1,3,0,0,3,6,1,17,0,4,6,8,1,5,4,5,21,2,3,5,0,5,1,3,11
low_left,2,2,1,1,0,6,0,11,0,4,0,3,2,3,1,5,10,0,2,1,0,0,2,5,8
low_outside,0,0,0,1,0,1,0,3,0,1,1,1,1,1,0,6,2,0,2,0,0,0,1,1,2
low_right,1,0,1,1,1,8,1,17,0,10,3,8,5,7,2,5,17,2,8,9,7,5,1,1,9
middle_center,4,4,3,4,3,8,0,29,1,6,8,9,3,5,3,9,16,3,6,8,2,2,1,10,6
middle_inside,1,2,3,2,3,6,3,11,1,5,2,6,2,6,3,5,16,1,5,2,1,4,4,1,8
middle_left,1,3,1,0,0,4,1,23,0,3,4,2,2,3,1,13,10,1,1,1,2,5,0,5,10
middle_outside,0,1,1,1,3,2,0,8,0,4,1,2,2,1,0,5,8,1,1,5,1,1,1,2,1
middle_right,4,5,3,1,1,6,2,27,0,7,5,7,5,5,2,13,26,3,6,5,4,3,1,7,3
