actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,8,7,0,2,6,0,2,2,0,3,0,6,2,1,1,0,2,0,2,0,3,0,1,2,3
above_inside,0,3,0,1,3,0,1,0,0,3,0,2,0,0,0,0,0,0,1,1,2,1,0,1,0
above_left,3,4,2,2,13,0,2,1,0,2,0,3,1,1,0,2,0,2,0,3,2,0,1,7,3
above_outside,4,6,1,1,14,0,3,5,0,3,1,3,1,0,0,0,0,1,1,1,1,1,0,2,2
above_right,5,4,2,1,12,1,0,2,0,0,1,1,1,0,0,0,4,1,1,0,0,0,1,4,1
below_center,6,2,5,0,21,0,2,5,1,8,1,6,1,1,2,1,4,1,1,3,3,1,1,11,4
below_inside,24,27,4,1,21,1,19,7,1,21,8,22,4,1,3,2,15,2,3,9,11,12,7,10,18
below_left,2,0,0,1,10,1,0,0,0,1,2,2,0,0,0,1,1,0,0,2,0,1,1,0,1
below_outside,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,2,0
below_right,13,10,3,1,25,2,3,5,0,8,3,8,2,1,0,0,6,1,1,4,7,1,5,13,8
high_center,9,8,1,1,22,0,3,5,1,6,2,12,2,1,0,0,1,1,3,1,6,0,4,4,7
high_inside,3,11,0,2,6,0,1,1,1,3,1,8,2,1,1,1,1,1,0,1,2,1,1,3,4
high_left,5,8,0,0,14,1,3,7,0,5,4,7,4,2,0,0,3,1,1,3,2,2,0,7,5
high_outside,5,4,0,0,9,0,1,4,0,2,0,3,1,2,0,2,1,2,0,1,3,1,2,4,3
high_right,9,12,0,1,14,0,2,3,0,5,6,2,0,0,0,0,7,0,1,3,1,1,1,3,4
low_center,14,10,4,2,27,1,8,5,0,8,8,15,4,1,1,2,5,0,1,2,5,4,6,11,3
low_inside,11,11,0,0,18,3,8,4,0,7,4,16,1,1,0,1,11,0,2,5,8,5,5,9,20
low_left,7,8,2,0,21,0,1,6,1,1,5,5,1,0,0,0,7,1,1,3,2,0,1,5,0
low_outside,3,2,1,0,5,0,0,1,0,0,1,5,4,0,0,2,0,1,2,1,0,0,0,3,1
low_right,9,15,4,3,19,1,3,13,0,5,6,8,2,2,0,1,8,0,0,5,10,6,3,7,7
middle_center,8,13,0,3,23,4,7,4,0,8,5,12,1,0,0,1,6,1,1,7,5,1,6,11,6
middle_inside,3,5,2,0,14,1,4,2,1,6,2,8,2,0,0,1,4,1,1,8,8,1,5,10,6
middle_left,17,6,3,1,19,3,1,4,0,4,4,6,4,1,0,0,1,0,1,2,3,3,4,7,9
middle_outside,4,4,1,1,14,1,2,3,0,2,3,2,1,0,0,0,3,0,0,1,2,0,1,7,5
middle_right,9,10,5,2,13,2,3,5,2,5,7,16,2,0,0,2,4,1,2,4,7,1,5,9,8
