actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,0,10,0,2,5,11,17,8,3,0,3,2,0,3,3,6,1,3,1,2,0,0,1
above_inside,0,0,0,4,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
above_left,2,0,1,7,0,2,4,13,10,5,3,0,6,1,0,3,2,3,1,0,0,3,1,2,1
above_outside,1,0,0,8,0,5,0,10,12,3,1,0,3,6,1,4,1,7,0,1,1,1,1,0,3
above_right,0,0,0,5,0,1,4,6,7,2,2,0,0,0,0,4,0,2,1,1,1,3,0,1,4
below_center,3,0,1,11,0,5,6,12,12,7,2,0,3,4,0,3,1,6,6,1,1,1,0,2,2
below_inside,1,0,0,3,0,5,7,17,11,17,11,0,2,0,1,7,3,6,1,4,2,5,1,0,11
below_left,1,0,0,11,0,6,0,15,7,4,3,0,1,2,0,2,0,3,0,3,1,1,1,0,3
below_outside,1,0,1,3,0,2,1,2,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
below_right,5,0,0,7,0,8,4,24,9,9,11,0,3,2,2,7,3,8,1,3,2,2,0,0,4
high_center,2,0,0,12,0,3,3,26,14,9,0,1,1,4,0,4,1,9,2,1,5,4,1,0,8
high_inside,0,0,0,1,0,0,1,5,6,1,2,0,0,0,1,1,0,1,0,0,2,1,0,0,1
high_left,3,0,0,10,0,3,1,23,19,5,3,0,0,4,1,5,0,16,1,2,1,3,1,1,2
high_outside,1,0,0,6,0,2,0,19,11,4,0,0,3,0,1,1,0,11,1,2,3,4,1,4,3
high_right,1,0,0,7,0,1,2,13,7,8,2,0,0,2,0,1,1,6,1,2,3,1,0,0,5
low_center,1,0,0,11,0,5,2,26,18,6,7,0,3,3,1,3,2,11,1,2,5,6,2,2,8
low_inside,1,0,0,4,0,0,1,15,12,8,4,0,0,2,0,1,1,5,0,1,1,4,1,0,5
low_left,1,0,0,10,0,6,1,15,17,5,4,0,3,3,0,1,1,5,2,0,3,0,0,2,5
low_outside,1,0,0,1,1,0,0,10,10,2,0,0,1,2,0,0,0,3,0,0,0,2,0,0,2
low_right,0,0,0,9,0,6,3,20,16,10,7,0,1,2,1,9,3,8,1,2,4,4,2,0,9
middle_center,1,0,1,4,0,5,3,28,25,9,7,0,5,4,0,4,1,11,3,6,3,4,3,6,11
middle_inside,1,0,0,3,0,1,0,5,6,3,3,0,1,0,2,1,1,2,0,0,3,0,0,0,3
middle_left,3,0,0,6,1,3,4,30,23,8,6,0,3,5,0,7,1,10,1,1,7,2,2,4,1
middle_outside,0,0,0,11,0,5,0,20,14,2,1,0,1,5,0,3,2,10,1,1,1,0,0,2,2
middle_right,3,0,0,5,0,4,2,24,14,10,8,0,0,1,0,4,2,3,1,2,5,7,5,1,10
