actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,1,0,0,0,0,2,1,0,0,3,2,1,0,0,0,2,0,1,0,0,3,0,0,1
above_inside,2,1,1,1,1,1,6,1,0,1,1,2,1,0,0,1,0,0,1,0,0,3,1,0,0
above_left,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,1,0,0,1,0,0,0
above_outside,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
above_right,2,0,0,0,1,1,3,1,0,1,3,0,2,0,0,0,2,1,0,2,0,8,0,0,0
below_center,3,5,2,4,5,3,54,11,4,6,8,15,9,3,1,4,14,4,10,19,4,25,3,0,5
below_inside,0,1,0,0,0,0,4,0,1,4,1,1,3,0,0,1,2,0,2,2,0,2,1,0,0
below_left,5,7,2,4,9,5,55,7,9,11,7,14,5,1,4,6,21,6,6,17,5,21,4,0,2
below_outside,7,6,1,1,10,10,42,9,12,13,4,17,13,1,2,4,13,4,10,5,4,30,1,1,4
below_right,1,2,1,1,4,2,19,2,7,0,5,6,6,0,0,5,11,3,6,2,0,17,2,0,1
high_center,0,5,1,0,2,3,19,2,3,1,1,5,4,0,0,3,6,1,4,6,2,7,0,0,1
high_inside,5,4,1,1,0,0,16,1,3,3,5,4,3,1,0,1,7,3,7,5,2,3,1,0,1
high_left,2,1,0,1,0,0,6,1,0,1,0,3,2,0,1,0,1,0,0,2,1,8,0,0,0
high_outside,0,0,1,0,0,0,3,0,0,0,1,0,2,0,1,0,0,0,1,1,1,0,0,0,0
high_right,1,1,0,0,3,2,19,5,2,4,4,7,4,0,0,2,3,0,5,3,0,9,1,0,1
low_center,7,6,3,2,6,1,33,7,3,10,8,19,9,1,3,5,20,2,6,3,4,24,3,1,4
low_inside,1,0,2,0,2,0,15,1,2,5,0,10,3,0,2,2,4,0,4,4,1,13,0,0,2
low_left,4,4,1,3,6,4,21,3,6,5,9,13,7,1,2,1,11,0,9,9,1,24,1,0,3
low_outside,1,1,0,3,0,2,9,1,3,1,4,7,5,0,0,1,4,0,4,0,1,9,1,0,2
low_right,6,1,1,3,2,5,29,5,3,5,9,9,11,2,0,4,12,3,10,8,2,24,3,0,5
middle_center,5,4,4,0,5,3,23,5,3,4,7,10,6,1,0,1,11,2,7,5,4,13,1,0,0
middle_inside,1,5,0,0,3,3,21,5,3,9,0,7,5,0,2,2,7,1,5,3,1,14,1,0,2
middle_left,1,1,1,5,2,1,18,2,3,2,1,6,6,0,2,2,7,0,3,9,3,12,1,0,1
middle_outside,0,1,0,0,0,1,2,2,1,1,0,3,1,0,1,0,2,0,1,1,0,6,1,0,0
middle_right,2,1,1,0,4,4,29,9,2,4,6,11,2,2,2,2,7,5,3,10,3,16,3,1,3
