actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,5,2,2,1,16,3,1,2,6,3,4,4,2,5,3,1,2,2,1,9,1,3,1,0
above_inside,0,3,2,0,0,3,0,1,5,1,0,2,0,1,0,0,0,0,0,1,3,0,1,2,0
above_left,2,6,5,0,1,11,5,3,9,3,0,2,2,3,3,2,0,0,0,1,3,0,2,3,0
above_outside,0,1,1,1,6,12,3,3,3,3,2,3,1,4,5,4,0,2,0,3,6,0,1,11,1
above_right,1,4,5,0,0,10,3,0,6,1,1,2,3,0,3,1,0,4,0,2,7,0,2,3,1
below_center,0,4,2,1,0,19,0,6,4,4,0,1,3,3,3,1,0,3,1,1,3,2,5,8,1
below_inside,2,16,3,0,1,16,3,6,7,7,3,6,7,3,3,2,4,3,2,2,18,3,1,3,2
below_left,0,1,0,2,1,6,1,0,1,1,0,0,0,2,1,1,0,0,0,0,1,2,1,4,0
below_outside,0,1,1,0,0,3,0,1,2,0,1,0,1,2,0,0,0,0,0,1,0,0,1,1,1
below_right,4,9,3,3,1,18,1,4,5,5,5,9,2,5,11,5,1,3,0,3,9,1,3,2,1
high_center,2,6,1,0,1,16,0,2,6,5,1,14,6,7,7,3,0,0,0,1,10,0,5,6,3
high_inside,0,4,1,1,0,4,0,1,2,1,0,4,1,3,6,0,1,2,0,0,6,0,3,2,1
high_left,2,7,4,1,1,22,0,2,7,6,1,3,4,6,7,0,0,2,1,1,8,0,2,7,2
high_outside,1,6,0,0,1,15,1,3,3,2,1,6,0,0,3,1,1,2,0,2,7,0,0,9,0
high_right,2,6,4,0,1,13,3,4,4,5,2,4,2,1,5,2,0,2,0,0,13,0,4,1,2
low_center,2,6,2,1,1,17,1,0,7,3,3,4,0,2,2,2,0,5,0,4,5,2,3,8,1
low_inside,1,8,4,1,3,14,0,0,5,3,1,6,3,2,11,2,4,0,0,1,7,2,2,6,2
low_left,1,1,4,0,1,10,0,2,1,2,1,2,2,0,3,1,0,1,0,0,8,0,3,8,3
low_outside,0,1,1,0,0,4,0,0,1,1,0,0,0,3,3,1,0,0,0,1,3,0,0,1,0
low_right,1,8,9,0,3,20,3,2,5,2,3,5,2,1,8,3,0,0,0,5,14,0,4,2,3
middle_center,2,13,6,2,1,24,1,4,7,4,7,7,2,7,11,5,2,3,0,4,7,1,8,10,1
middle_inside,1,6,4,1,0,8,2,0,5,2,1,8,1,5,3,4,0,1,0,2,14,1,1,1,1
middle_left,3,1,2,0,0,17,1,2,7,6,0,4,7,6,3,1,1,4,0,1,9,0,3,14,1
middle_outside,0,4,0,0,1,14,1,0,2,2,0,1,1,3,2,0,1,1,0,0,2,0,0,3,0
middle_right,1,7,6,1,2,17,0,2,8,3,2,9,1,2,11,5,0,3,0,3,11,0,3,4,0
