actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,11,9,10,3,6,2,1,1,6,4,1,5,0,2,0,0,1,1,0,1,4,1,3,1,3
above_inside,1,3,0,2,1,0,1,0,1,1,2,5,0,1,2,1,0,1,0,0,0,0,0,0,1
above_left,9,4,11,5,9,1,1,0,5,3,0,9,1,2,0,1,0,0,1,0,2,3,1,0,4
above_outside,6,3,8,1,3,1,0,1,4,1,0,3,1,1,1,1,0,0,1,1,0,1,2,0,0
above_right,4,7,10,3,5,2,3,0,2,0,1,3,0,0,0,0,0,0,2,1,2,1,4,0,1
below_center,15,24,13,9,9,11,4,5,23,2,5,10,4,9,1,1,2,2,4,4,5,4,6,7,6
below_inside,9,21,12,3,7,7,8,1,19,7,5,25,0,2,5,4,2,0,6,2,4,7,4,1,5
below_left,5,12,6,4,9,1,0,4,13,2,0,6,0,3,1,1,1,1,2,4,2,3,0,2,1
below_outside,2,6,4,5,1,0,1,0,2,0,1,5,1,0,1,0,0,0,4,1,0,0,1,2,1
below_right,14,19,10,6,6,2,4,6,19,3,7,17,0,3,1,2,1,3,4,1,2,1,5,2,4
high_center,10,8,15,4,10,2,0,1,11,0,4,32,2,4,5,3,2,1,3,1,4,4,4,1,3
high_inside,6,9,4,1,7,0,0,2,6,3,1,16,0,0,1,2,0,1,1,0,2,5,0,0,1
high_left,7,7,12,2,6,1,1,2,14,2,2,9,1,3,3,2,0,0,5,4,1,1,6,0,1
high_outside,7,7,5,4,4,3,1,0,2,0,0,8,1,0,0,1,3,0,2,0,0,2,3,3,3
high_right,8,16,8,7,9,3,1,2,7,2,2,17,0,0,2,2,0,0,3,2,4,4,1,1,8
low_center,16,22,11,3,15,4,3,3,13,1,2,21,1,4,6,2,1,2,5,3,4,4,3,3,4
low_inside,10,15,9,2,10,6,2,3,7,2,2,23,1,3,2,0,1,2,3,2,3,2,2,3,14
low_left,10,23,9,1,16,4,2,3,18,4,1,13,1,5,1,3,0,2,3,3,3,5,2,7,4
low_outside,9,10,8,4,5,1,1,3,9,1,3,7,0,3,5,0,1,0,2,5,0,1,1,3,2
low_right,6,21,5,3,8,5,0,2,9,1,3,18,0,4,2,0,2,0,4,2,6,2,1,3,10
middle_center,10,20,12,1,18,4,1,4,10,5,6,24,1,2,2,3,3,0,0,2,3,8,5,3,7
middle_inside,8,15,9,0,2,2,2,1,5,3,4,29,0,2,3,0,3,0,2,1,0,5,1,2,8
middle_left,10,14,9,4,8,0,2,1,7,2,1,6,0,5,3,1,1,2,2,3,2,5,2,0,6
middle_outside,6,11,10,2,7,4,0,2,8,0,1,9,0,4,2,1,1,0,1,0,1,2,2,0,3
middle_right,3,11,9,5,16,7,0,0,6,1,2,26,1,3,2,2,0,1,1,3,5,5,3,1,10
