actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,8,14,1,6,5,1,4,5,4,1,5,2,2,1,2,4,5,0,11,2,2,6,1,1,5
above_inside,0,4,0,0,2,1,1,0,4,0,1,1,0,0,0,0,1,0,3,2,1,0,1,0,0
above_left,5,6,4,2,4,3,2,1,5,3,6,1,2,2,3,2,6,3,1,1,1,2,1,0,2
above_outside,1,4,1,1,1,2,1,2,1,2,2,1,1,0,0,3,1,3,3,0,1,2,0,1,2
above_right,4,6,2,3,9,4,3,3,3,1,12,1,2,0,0,0,1,0,8,1,0,4,1,1,1
below_center,9,16,2,6,7,8,1,7,12,1,9,6,2,1,1,2,3,0,3,6,3,10,1,1,0
below_inside,4,17,0,6,5,7,3,9,11,2,14,5,3,0,2,1,6,2,10,5,0,5,1,5,3
below_left,2,14,0,0,1,6,1,6,5,1,6,1,1,0,2,0,3,2,3,3,0,3,0,4,2
below_outside,1,5,0,1,4,2,0,3,3,1,4,2,0,0,1,0,3,0,5,0,1,3,0,1,1
below_right,7,11,1,6,3,6,0,9,10,3,9,2,2,1,0,2,1,1,3,2,1,6,3,4,2
high_center,7,15,1,3,8,7,1,10,14,1,11,4,3,4,4,1,7,1,14,3,7,11,5,5,4
high_inside,5,9,1,3,6,2,0,3,8,0,4,4,1,0,1,1,3,0,2,5,3,3,1,0,2
high_left,2,15,2,3,0,5,2,2,9,2,12,1,5,3,2,7,2,2,8,4,3,1,1,3,3
high_outside,2,6,2,1,3,1,1,4,7,3,6,1,4,0,1,2,0,2,7,0,0,5,3,2,2
high_right,5,15,0,6,2,5,3,4,12,3,9,3,5,2,2,2,8,1,12,6,3,7,3,2,5
low_center,3,12,2,4,2,7,1,7,8,3,10,4,4,3,2,1,6,2,5,2,4,4,2,3,2
low_inside,2,13,1,3,4,3,4,3,7,3,7,5,4,1,3,0,6,0,8,1,9,6,2,2,1
low_left,6,12,0,5,4,7,2,3,8,3,8,2,6,1,1,2,10,2,12,5,1,4,3,4,2
low_outside,4,9,2,1,1,7,0,4,9,0,8,6,5,0,1,0,10,3,11,6,3,2,2,1,2
low_right,3,3,1,2,2,8,1,3,6,2,9,1,4,0,3,2,4,1,14,1,1,3,2,3,1
middle_center,2,17,2,4,6,9,3,6,8,0,10,3,7,2,3,4,4,4,13,7,6,6,3,0,8
middle_inside,6,15,1,1,7,8,0,3,5,1,5,5,3,0,4,1,2,0,2,1,0,3,1,1,3
middle_left,2,11,1,7,4,8,1,8,7,0,17,2,2,1,1,0,5,2,16,7,2,4,4,1,9
middle_outside,2,13,1,1,2,7,4,2,9,0,8,4,2,1,3,2,13,1,11,7,3,6,0,1,1
middle_right,4,20,1,2,3,4,2,8,9,2,11,1,5,1,4,1,6,0,12,6,4,8,1,1,3
