actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,12,12,2,5,0,6,11,4,0,2,0,11,9,0,0,0,0,0,0,9,3,0,1
above_inside,2,0,3,2,0,5,0,2,7,2,0,1,0,0,13,0,0,0,0,0,0,3,0,0,0
above_left,5,0,5,9,1,5,0,0,11,2,0,2,1,3,5,1,1,0,0,0,0,5,0,0,0
above_outside,0,0,2,7,1,1,0,0,2,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0
above_right,1,0,4,11,1,6,0,2,2,2,0,2,1,6,7,0,0,0,1,0,0,4,1,0,0
below_center,3,0,21,21,3,15,0,3,18,5,2,4,2,11,15,5,0,0,0,0,0,4,2,1,2
below_inside,4,0,4,5,4,4,0,1,2,3,1,4,0,4,4,0,0,0,0,0,0,2,0,0,0
below_left,4,0,7,5,0,7,0,6,23,4,1,2,0,6,7,1,0,0,4,0,0,2,3,0,2
below_outside,4,0,5,4,0,7,0,10,36,1,0,2,1,9,2,2,0,0,2,0,0,4,1,0,0
below_right,6,0,19,20,6,15,0,1,9,5,1,4,0,7,14,0,1,0,0,0,0,9,0,0,1
high_center,9,0,14,12,2,12,0,8,19,7,0,2,1,8,13,3,0,0,3,0,0,10,0,0,3
high_inside,5,0,7,7,1,4,0,2,6,3,2,0,0,8,17,0,0,0,0,0,0,3,0,0,0
high_left,4,0,13,7,6,10,0,1,13,2,0,2,1,9,8,3,0,0,1,0,0,6,1,0,2
high_outside,0,0,6,6,2,6,0,1,5,1,0,1,0,4,5,1,0,0,0,0,0,0,1,0,1
high_right,3,0,5,10,0,13,0,1,8,3,1,1,0,10,14,1,0,0,0,0,0,3,1,0,2
low_center,1,0,1,16,1,15,0,4,21,2,1,5,3,9,22,0,2,0,5,0,0,6,1,0,0
low_inside,3,0,7,8,2,3,0,0,2,7,0,2,1,3,11,0,0,0,0,0,0,4,1,0,0
low_left,3,0,4,11,1,11,0,2,24,1,0,4,0,17,17,0,0,0,6,0,0,2,2,0,1
low_outside,5,0,6,9,0,6,0,2,26,2,0,2,1,5,6,2,0,0,7,0,0,2,0,2,0
low_right,3,1,10,14,0,5,0,0,10,7,0,1,0,6,21,1,1,0,1,0,0,9,2,0,1
middle_center,1,1,15,13,5,13,0,5,15,8,1,5,1,6,16,2,0,0,4,0,0,2,3,0,0
middle_inside,3,1,7,7,2,6,0,1,7,8,1,2,1,7,18,1,0,0,0,0,0,6,0,0,0
middle_left,6,0,8,14,1,7,0,6,30,2,1,1,3,13,16,0,0,0,1,0,0,9,0,1,0
middle_outside,3,0,9,9,0,9,0,5,27,4,0,0,1,5,7,2,0,0,2,0,0,1,1,0,0
middle_right,3,0,13,9,6,13,0,1,12,1,1,2,0,7,19,0,1,0,0,0,0,7,3,0,1
