actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,23,7,1,9,4,2,0,2,8,0,2,2,0,1,4,3,0,0,5,0,0,1,0,14,3
above_inside,8,3,0,1,0,0,1,0,4,0,1,1,0,0,2,0,0,0,2,0,0,3,0,3,0
above_left,20,5,0,8,2,0,2,1,6,0,2,0,1,3,6,2,1,1,7,0,1,1,4,10,2
above_outside,10,3,0,10,1,0,1,1,8,0,1,0,1,5,3,2,0,1,5,0,0,2,2,16,3
above_right,11,2,0,5,1,1,1,0,7,0,0,0,1,4,3,2,0,0,0,1,0,3,3,13,2
below_center,6,4,0,3,1,0,3,3,5,0,0,0,0,1,3,1,1,1,7,0,1,2,3,19,1
below_inside,23,4,0,2,1,1,5,1,6,1,2,1,1,3,6,2,0,1,7,1,0,7,5,27,4
below_left,8,0,0,3,0,0,1,1,5,0,1,1,0,1,1,0,0,2,3,0,0,1,0,13,0
below_outside,2,0,1,2,1,0,0,0,2,1,0,0,1,1,2,0,1,1,1,1,0,0,0,7,0
below_right,12,2,0,5,1,0,2,1,6,0,0,0,0,1,3,2,0,0,9,0,0,0,1,16,2
high_center,15,0,1,10,0,0,2,0,8,0,3,0,2,4,10,4,3,1,5,2,0,0,2,24,2
high_inside,9,3,0,8,0,0,2,0,2,0,1,0,1,0,2,0,0,1,1,0,0,3,3,10,2
high_left,16,3,0,10,0,0,4,2,5,0,1,1,1,3,4,6,2,2,6,1,0,1,5,39,4
high_outside,9,3,0,6,0,1,2,2,6,0,1,1,2,4,2,0,0,2,8,0,0,2,2,38,6
high_right,14,4,0,11,1,2,1,0,8,0,2,0,0,2,1,3,0,0,8,0,0,4,1,20,3
low_center,15,4,1,15,1,0,4,1,9,0,3,2,0,4,7,5,2,5,7,0,0,3,4,37,11
low_inside,14,2,0,7,1,2,5,1,4,1,1,1,0,0,6,1,3,2,9,1,0,0,4,18,4
low_left,12,6,0,12,0,0,6,3,6,0,2,0,0,2,7,2,2,0,4,0,0,4,4,33,7
low_outside,8,0,0,5,0,0,4,1,6,0,1,0,0,2,2,0,0,1,4,0,0,0,3,15,2
low_right,15,2,0,8,1,3,4,3,5,0,0,2,0,2,6,6,1,5,11,1,0,1,3,22,4
middle_center,19,0,0,7,1,0,3,3,7,3,1,3,1,1,6,4,1,6,13,0,0,3,7,47,3
middle_inside,9,4,0,3,2,1,3,2,6,1,0,0,0,1,7,3,0,2,7,0,0,1,5,25,1
middle_left,16,5,1,9,1,1,4,2,14,0,3,1,1,3,5,4,2,4,18,3,0,1,4,43,3
middle_outside,11,5,0,13,2,3,2,1,5,0,2,0,2,0,6,5,0,1,6,0,0,1,2,32,4
middle_right,19,4,0,9,2,1,2,0,1,1,3,0,2,6,8,0,0,1,9,1,0,2,1,27,11
