actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,6,3,2,0,13,0,0,1,2,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,2
above_inside,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above_left,4,3,4,0,11,0,1,0,1,3,0,4,0,0,1,0,2,1,0,1,0,0,0,1,0
above_outside,6,2,10,0,13,2,0,1,0,2,0,2,0,0,0,0,3,1,0,0,0,0,0,1,4
above_right,6,1,2,0,4,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
below_center,16,7,5,5,24,1,1,3,3,3,0,13,0,0,1,2,6,2,0,3,3,0,11,3,6
below_inside,21,0,4,1,30,2,5,3,0,23,1,20,1,0,4,2,11,2,0,13,5,1,3,2,19
below_left,13,5,2,0,11,1,1,2,1,1,0,5,0,0,2,0,2,3,1,0,0,0,4,2,3
below_outside,8,1,2,0,6,0,1,0,2,2,0,4,0,0,1,0,0,0,0,0,1,0,2,1,1
below_right,20,5,6,1,27,2,4,2,1,8,2,5,1,0,6,0,9,5,0,3,0,0,1,1,6
high_center,10,2,5,2,10,0,0,1,2,3,0,8,0,0,0,0,7,7,0,3,0,0,2,4,7
high_inside,8,2,1,1,8,1,0,0,1,0,1,2,0,0,1,0,1,0,1,0,0,0,1,1,1
high_left,6,0,3,0,13,0,2,3,3,4,0,1,0,0,2,0,6,3,0,0,0,0,5,2,2
high_outside,14,0,8,0,21,1,1,3,2,5,0,8,1,1,0,2,3,4,1,3,0,0,4,4,2
high_right,15,4,3,0,9,0,0,0,2,3,0,3,0,0,3,0,1,1,0,1,1,1,2,2,1
low_center,20,1,7,0,22,4,1,1,2,5,1,7,1,0,5,1,14,7,2,3,0,0,6,9,10
low_inside,16,1,2,1,15,0,2,1,0,6,0,8,0,0,1,4,11,1,3,6,3,0,3,4,8
low_left,19,2,1,2,28,2,5,2,3,6,2,3,0,2,4,3,9,5,1,1,2,0,5,9,7
low_outside,9,2,6,2,24,4,1,2,4,1,0,9,0,0,5,1,6,0,0,2,3,0,6,4,2
low_right,15,3,0,0,21,1,0,1,2,7,1,8,1,0,4,4,16,3,1,3,2,0,5,4,14
middle_center,20,4,7,1,19,2,2,2,6,10,0,7,1,0,6,1,10,7,0,3,4,0,5,8,13
middle_inside,15,2,3,1,12,0,0,1,0,4,0,7,0,0,0,0,2,3,1,1,2,0,4,1,6
middle_left,16,0,5,0,18,0,1,3,4,7,0,12,2,0,7,2,7,7,3,2,3,0,7,4,12
middle_outside,24,3,4,1,24,1,1,3,6,6,0,15,0,1,4,3,2,5,2,4,1,0,7,11,5
middle_right,14,3,4,0,17,0,2,2,2,6,1,6,0,0,0,2,7,3,2,7,2,0,6,1,8
