actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,0,2,0,5,0,0,0,2,0,0,3,0,1,0,0,0,0,2,0,0,0,1,0,0
above_inside,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
above_left,2,0,3,0,4,0,0,1,1,1,0,3,0,2,1,1,3,0,0,0,0,1,2,0,0
above_outside,1,0,4,0,2,0,0,1,2,0,0,7,1,1,3,0,0,0,7,0,2,0,2,0,0
above_right,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,3,0,0
below_center,6,5,17,2,6,0,0,9,9,2,0,36,4,7,10,0,4,0,16,1,2,0,27,2,0
below_inside,22,14,15,1,6,0,0,6,8,5,0,41,2,7,13,0,9,0,19,0,6,0,24,0,0
below_left,3,4,9,0,2,0,0,12,6,1,0,20,3,3,5,0,1,0,10,0,2,1,13,0,0
below_outside,0,2,3,0,1,0,0,3,2,0,0,9,0,4,0,0,4,0,6,0,2,0,6,0,0
below_right,13,5,15,2,4,1,1,8,10,4,2,40,1,9,11,2,9,0,20,1,7,0,16,0,2
high_center,1,0,7,0,3,0,0,3,0,0,0,7,0,2,3,1,1,0,6,0,2,0,3,0,0
high_inside,1,0,2,0,3,0,0,3,0,0,0,4,0,1,2,0,0,0,1,0,0,0,2,0,0
high_left,6,0,4,0,4,0,0,5,5,1,0,8,1,2,6,0,0,1,8,0,2,0,11,0,0
high_outside,2,1,8,0,1,0,0,6,1,0,0,12,2,3,3,2,0,2,8,0,3,0,9,0,0
high_right,5,0,4,0,4,0,0,2,0,0,0,6,2,2,1,0,1,0,4,0,1,0,4,0,0
low_center,9,3,14,0,4,0,0,13,4,0,1,38,2,4,9,0,1,0,17,0,9,0,21,1,1
low_inside,5,4,12,1,2,0,0,3,2,3,0,14,1,5,3,0,0,0,20,1,7,0,13,1,1
low_left,7,5,11,2,2,0,0,5,5,1,0,22,3,9,3,0,3,0,12,0,3,2,21,0,0
low_outside,2,1,6,0,3,0,0,7,5,0,1,15,1,7,1,0,0,0,11,0,2,0,13,1,0
low_right,15,2,10,0,2,0,1,8,1,2,0,33,3,2,5,0,2,0,13,1,4,1,9,0,1
middle_center,19,0,21,0,3,0,0,4,2,1,1,25,4,7,8,1,2,1,5,2,8,0,13,0,0
middle_inside,7,1,6,1,1,0,0,7,1,0,1,8,1,2,2,0,0,0,7,0,4,1,7,0,0
middle_left,5,1,15,1,5,0,0,7,4,0,0,22,4,3,3,0,1,0,12,2,5,1,15,1,0
middle_outside,3,1,10,0,5,0,2,12,9,1,0,12,1,4,2,0,3,0,7,0,2,1,9,1,1
middle_right,9,0,6,0,3,0,0,2,1,0,0,22,0,3,7,0,4,0,12,0,5,0,11,0,3
