actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,15,26,3,5,1,1,0,2,3,0,2,1,4,3,7,0,5,5,2,0,0,2,5,3,0
above_inside,5,12,1,1,0,0,0,2,0,0,0,2,0,0,7,0,1,1,2,0,0,1,0,3,0
above_left,16,17,3,3,1,0,0,1,3,0,7,0,2,2,7,0,4,1,1,0,1,3,1,1,2
above_outside,9,8,2,9,0,0,1,2,2,0,2,0,3,1,10,0,1,3,5,0,0,1,1,3,1
above_right,3,26,2,5,1,0,0,1,2,0,1,0,0,3,3,0,3,0,1,0,0,3,0,6,1
below_center,20,21,9,4,0,0,0,3,2,0,4,1,3,3,5,0,0,6,1,0,0,1,2,3,2
below_inside,13,45,2,3,1,1,0,4,5,0,3,1,3,5,11,1,3,4,1,0,0,6,0,3,3
below_left,10,9,2,3,1,0,0,0,4,0,4,0,2,6,3,0,1,1,1,0,0,1,3,3,2
below_outside,6,9,7,7,0,0,1,1,1,0,1,0,1,1,0,0,1,0,2,0,0,1,1,1,0
below_right,12,21,4,2,1,0,2,4,2,0,1,0,6,4,7,0,2,2,1,0,0,5,5,7,2
high_center,22,44,4,5,1,0,0,2,2,0,5,0,11,8,17,0,4,5,0,0,0,7,3,12,5
high_inside,8,20,1,1,0,0,0,0,0,0,0,0,3,5,4,0,0,0,2,0,0,3,1,4,1
high_left,24,21,4,5,0,0,0,1,3,0,6,1,10,4,10,0,4,4,4,0,1,4,2,7,5
high_outside,20,15,3,7,0,1,0,3,1,0,2,3,11,8,5,1,4,5,2,0,0,4,3,11,2
high_right,10,36,4,0,1,0,0,2,2,0,2,1,6,4,14,0,0,5,6,0,0,3,5,12,2
low_center,16,21,4,1,0,0,0,0,0,0,2,0,8,5,6,0,5,7,6,1,0,6,3,3,5
low_inside,7,19,3,1,0,0,0,0,1,0,0,0,3,2,15,0,6,2,4,0,1,8,1,1,5
low_left,10,19,3,0,1,0,0,1,1,0,3,0,8,8,3,0,2,4,2,0,0,5,4,6,1
low_outside,12,14,6,2,0,0,0,2,3,0,3,1,4,5,2,0,4,5,1,0,0,5,3,1,2
low_right,8,23,3,0,0,0,0,1,1,0,2,3,4,5,7,0,1,5,2,0,0,5,2,5,3
middle_center,18,31,3,2,0,0,0,0,3,0,7,2,12,7,6,0,7,2,5,0,0,10,3,7,3
middle_inside,5,16,0,1,0,0,0,2,2,0,3,2,6,0,3,0,2,3,1,0,0,7,1,2,1
middle_left,17,26,2,4,0,0,0,3,2,0,5,1,11,7,12,2,5,7,1,0,2,8,10,13,6
middle_outside,12,31,4,0,0,1,0,0,2,0,0,0,7,7,7,2,5,6,1,0,0,6,3,3,4
middle_right,15,18,4,3,0,0,1,1,1,0,4,4,8,3,11,1,5,6,7,0,1,10,5,5,0
