actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,1,0,2,1,4,2,33,2,1,3,0,1,7,4,6,27,5,3,2,10,1,9,1
above_inside,0,0,0,0,0,2,2,2,9,0,0,1,0,1,0,4,0,8,2,0,1,1,0,8,0
above_left,0,2,0,4,0,0,2,5,22,1,1,2,0,2,3,3,2,19,4,1,5,2,1,3,0
above_outside,0,0,0,3,0,0,0,4,15,0,0,0,1,0,0,2,1,20,2,1,0,1,0,1,0
above_right,0,3,0,2,3,0,4,2,23,2,0,4,0,1,2,4,2,26,2,2,0,6,0,10,0
below_center,0,0,1,5,3,1,1,7,36,1,0,1,0,2,6,13,1,41,14,0,1,1,2,17,3
below_inside,0,5,0,4,11,2,24,5,38,5,0,7,0,1,10,5,12,56,4,5,7,13,0,20,1
below_left,1,1,1,5,2,4,0,1,21,0,0,0,0,0,0,2,0,21,5,0,1,1,1,6,0
below_outside,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,1,0,8,2,0,0,0,1,1,0
below_right,1,4,1,5,3,3,4,1,42,2,0,2,1,1,8,5,6,53,13,1,8,3,1,17,0
high_center,1,3,0,2,2,1,4,4,32,1,1,4,0,2,3,8,6,33,4,4,2,2,1,6,1
high_inside,1,3,0,5,1,0,8,3,14,0,0,1,0,0,3,2,1,12,2,1,1,3,0,7,1
high_left,0,0,2,3,0,3,2,0,26,1,0,0,0,0,2,4,0,16,5,0,3,1,0,9,0
high_outside,0,0,0,2,0,1,0,0,15,2,0,0,1,0,0,1,0,11,5,0,0,1,3,1,0
high_right,0,1,0,4,3,2,6,2,23,0,0,2,0,2,7,3,6,24,7,2,5,8,0,6,0
low_center,0,3,2,5,0,2,4,2,24,0,0,2,1,1,2,7,3,32,9,0,4,4,4,15,1
low_inside,0,3,0,1,1,1,8,2,16,1,1,6,1,0,8,4,10,23,9,1,2,8,1,7,1
low_left,1,0,0,2,1,1,0,2,21,0,0,1,0,0,0,6,2,16,3,1,4,1,0,4,0
low_outside,0,1,0,1,0,2,0,1,12,0,0,0,0,0,1,1,0,7,4,0,0,0,0,2,0
low_right,0,3,1,6,2,1,7,1,30,0,4,6,2,0,5,7,5,37,8,2,6,7,1,10,1
middle_center,1,2,0,1,3,0,2,4,36,1,1,6,3,0,6,8,3,32,11,1,6,8,2,10,1
middle_inside,0,3,0,0,4,0,10,2,21,0,0,1,1,1,4,1,4,14,6,0,3,8,0,9,2
middle_left,0,3,0,3,0,0,5,1,33,0,1,3,0,1,2,3,3,24,11,2,6,2,0,3,0
middle_outside,0,0,0,2,1,0,1,0,11,0,0,0,0,0,0,0,0,6,3,0,1,0,1,4,0
middle_right,0,1,0,4,2,2,10,2,25,1,0,6,1,0,9,7,5,26,5,1,5,8,3,7,2
