actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,2,0,5,3,0,0,2,1,4,3,1,4,0,3,2,0,1,7,1,2,0,0,3,0
above_inside,0,1,0,1,2,3,0,1,0,3,1,0,4,0,0,0,0,0,2,1,1,0,0,1,2
above_left,0,0,0,1,1,3,0,0,0,0,0,0,2,0,1,1,0,0,3,1,0,0,0,1,0
above_outside,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
above_right,1,0,1,3,3,4,0,1,0,1,0,1,3,0,2,3,0,0,4,2,1,0,0,1,2
below_center,4,1,0,28,9,16,0,2,1,15,4,8,11,0,11,5,1,4,22,3,3,2,3,14,5
below_inside,4,2,0,11,4,6,0,1,0,2,0,3,4,0,4,0,1,0,7,1,1,0,0,4,3
below_left,5,0,0,18,7,18,0,2,8,5,3,7,14,1,9,7,0,15,22,0,6,0,3,12,7
below_outside,7,0,0,12,3,6,0,1,8,6,3,4,6,0,4,10,0,21,39,1,7,0,1,9,1
below_right,3,1,0,18,5,23,2,1,0,3,4,4,4,0,7,1,0,2,14,4,4,0,0,2,4
high_center,0,0,0,8,11,7,0,1,0,5,2,0,5,0,4,3,0,9,11,4,6,1,0,2,2
high_inside,0,0,0,4,3,1,0,0,0,3,1,2,4,0,6,2,0,2,11,4,5,1,1,3,2
high_left,2,0,1,6,14,11,0,0,1,2,4,1,6,0,4,2,1,5,5,4,2,1,0,1,6
high_outside,0,0,0,7,6,6,0,1,1,3,0,1,1,0,3,0,0,1,3,1,0,0,0,2,1
high_right,3,1,0,2,3,6,0,0,1,5,7,3,5,1,1,3,1,1,2,0,7,0,1,3,2
low_center,0,0,0,5,7,14,0,1,0,4,4,4,10,0,7,9,0,12,15,3,5,1,5,5,8
low_inside,3,0,0,6,1,3,0,0,0,5,2,3,3,0,8,4,0,2,12,2,2,1,0,3,2
low_left,2,0,0,9,5,6,0,1,1,5,5,1,2,0,8,6,0,12,7,5,6,2,0,6,6
low_outside,0,0,0,8,3,6,0,1,6,4,4,5,2,0,9,9,1,14,24,4,7,1,0,9,4
low_right,1,1,0,7,4,11,2,0,0,7,0,2,4,0,10,6,1,4,15,2,2,0,1,4,6
middle_center,1,0,1,6,8,8,1,0,1,2,5,4,4,0,12,8,0,7,25,1,13,0,0,10,11
middle_inside,1,1,0,3,4,7,0,0,0,5,3,0,2,0,10,1,2,4,11,1,1,2,0,3,2
middle_left,1,0,0,13,7,10,0,0,0,4,5,8,7,0,9,6,1,8,25,3,4,1,0,8,6
middle_outside,4,0,0,4,6,7,0,0,2,6,4,6,7,0,6,7,0,2,15,1,1,0,1,3,2
middle_right,2,0,0,6,6,6,0,1,1,6,3,4,6,0,9,9,3,7,9,2,3,1,0,6,6
