actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,2,9,5,5,2,8,1,3,1,1,9,2,0,2,7,6,5,0,2,0,6,2,0,0
above_inside,3,1,10,7,7,4,11,1,4,2,4,10,0,2,1,8,5,6,1,1,0,6,2,1,2
above_left,5,1,4,3,7,1,5,0,1,0,0,5,0,0,0,1,8,2,0,1,0,0,0,0,0
above_outside,0,0,1,0,3,0,3,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
above_right,3,2,9,4,2,3,4,3,0,2,6,8,0,0,0,3,4,3,0,2,0,5,0,0,0
below_center,7,1,22,4,7,1,5,3,3,5,3,3,1,2,0,2,11,8,2,3,0,0,4,1,1
below_inside,4,0,8,0,2,3,4,1,2,2,2,4,0,0,0,1,8,2,2,1,0,0,0,1,0
below_left,2,1,11,5,8,5,4,2,3,2,2,7,0,0,1,4,4,5,5,3,0,1,0,2,0
below_outside,5,1,21,4,7,2,4,5,2,3,2,7,1,0,3,3,2,7,9,0,0,1,3,1,0
below_right,5,1,12,3,8,1,9,0,2,4,3,5,0,0,2,1,9,4,1,2,0,8,0,0,0
high_center,6,3,19,5,14,1,4,2,2,4,2,2,1,0,3,8,3,4,1,2,1,12,5,0,0
high_inside,4,5,3,4,5,1,3,1,1,0,2,11,0,2,1,8,2,6,3,1,0,2,2,0,0
high_left,6,0,13,6,6,4,5,0,0,2,3,2,1,0,2,8,6,8,1,1,0,3,1,3,0
high_outside,2,0,6,3,3,4,2,2,2,2,0,2,2,0,4,2,6,3,0,2,0,0,2,3,0
high_right,6,4,23,2,7,1,5,3,0,3,1,6,1,0,0,8,4,7,1,0,0,3,1,1,0
low_center,2,1,27,4,11,5,6,2,2,3,3,8,3,0,2,10,9,7,2,4,1,5,5,1,1
low_inside,2,0,6,1,5,4,5,1,3,0,4,6,2,0,0,3,6,2,1,3,0,1,4,1,0
low_left,5,0,11,2,5,4,10,1,0,0,6,7,2,2,2,7,4,11,2,0,1,4,4,1,0
low_outside,3,1,12,3,11,3,3,4,2,3,1,7,1,1,2,2,5,7,4,3,0,1,2,0,0
low_right,5,1,8,5,6,5,6,3,1,1,3,6,2,1,2,6,8,9,1,1,0,2,1,1,0
middle_center,7,3,23,7,15,7,8,0,0,1,5,12,3,1,2,10,4,13,3,5,2,4,6,0,0
middle_inside,5,2,8,0,9,4,9,1,2,2,5,7,0,1,1,7,3,7,2,2,0,8,5,0,2
middle_left,7,0,24,7,5,1,2,4,0,3,3,4,2,0,1,7,7,8,6,3,0,7,7,1,0
middle_outside,6,0,12,2,3,3,7,2,1,5,3,4,2,0,2,3,4,2,3,1,0,2,5,3,1
middle_right,5,2,14,7,12,5,3,2,0,5,1,10,4,1,1,12,10,2,4,2,0,5,4,0,1
