actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,10,0,12,3,5,3,0,3,0,0,0,2,0,0,2,1,0,3,0,10,0,0,1,0
above_inside,0,6,1,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
above_left,1,12,1,12,1,3,4,0,5,1,0,0,3,1,0,0,6,0,0,1,5,0,1,0,1
above_outside,0,4,1,4,0,0,0,0,2,0,1,0,0,0,1,0,6,0,1,1,6,0,0,1,0
above_right,1,5,1,11,1,0,2,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,1
below_center,2,33,11,60,2,8,15,2,21,5,3,0,10,4,1,3,15,4,8,3,13,0,2,4,0
below_inside,6,7,5,46,0,1,22,1,4,3,0,0,1,0,0,3,11,2,1,2,6,0,0,1,0
below_left,2,40,5,38,4,5,11,4,8,0,0,0,4,0,0,1,1,3,3,2,10,0,1,8,0
below_outside,3,11,5,21,0,5,1,2,11,0,0,0,4,0,0,0,3,0,3,1,4,0,0,4,0
below_right,2,22,11,67,3,13,13,0,7,2,0,0,8,1,0,3,8,0,4,1,13,0,0,5,0
high_center,3,13,3,17,3,3,5,0,2,2,1,0,6,0,0,3,6,1,4,1,10,0,0,0,1
high_inside,1,4,1,11,0,0,0,0,2,0,2,0,2,0,1,2,2,0,2,1,2,0,0,0,1
high_left,1,17,2,14,0,1,2,0,8,1,0,0,7,0,0,3,6,0,0,3,8,0,0,2,1
high_outside,1,15,5,12,0,6,1,0,2,0,0,0,5,0,0,2,4,1,0,2,7,0,0,0,0
high_right,1,13,4,20,0,3,4,0,5,1,2,0,5,0,0,3,8,1,2,3,8,0,0,0,0
low_center,5,19,5,46,1,6,10,0,7,4,3,1,2,5,1,14,9,3,5,1,10,1,0,2,1
low_inside,3,2,1,14,0,1,7,0,1,1,1,0,1,0,1,1,4,0,0,0,14,0,0,1,0
low_left,3,29,7,17,1,9,11,2,13,1,1,0,9,0,0,5,11,2,9,3,12,0,0,4,0
low_outside,6,22,2,14,1,5,3,1,9,0,2,0,4,0,0,3,3,2,7,1,8,0,0,0,0
low_right,1,6,5,23,1,1,4,0,7,3,1,0,4,0,1,2,12,0,1,2,13,0,0,4,0
middle_center,3,14,3,29,5,6,3,1,8,0,0,0,8,1,2,6,14,2,2,4,18,0,0,4,1
middle_inside,1,10,0,20,1,0,4,0,3,3,0,0,3,0,0,0,7,2,1,3,6,0,0,0,0
middle_left,4,28,10,22,3,2,3,2,5,2,3,0,7,1,1,5,8,2,5,4,12,0,1,3,0
middle_outside,6,15,2,25,0,2,4,2,8,0,1,0,6,1,0,3,12,0,3,1,8,0,0,1,0
middle_right,2,11,1,14,0,3,8,1,3,0,0,1,5,3,0,1,15,0,5,2,25,1,0,1,0
