actual/predicted,above_center,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,0,0,3,1,1,1,1,0,0,7,0,1,7,1,2,0,0,1,0,1,0,0,1
above_left,8,1,0,1,0,3,1,3,1,0,3,0,0,2,0,1,0,0,3,1,0,0,0,1
above_outside,7,2,0,4,0,2,2,2,0,0,2,2,0,1,2,1,0,0,0,0,1,1,0,1
above_right,4,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
below_center,47,5,1,24,0,23,5,12,4,1,21,13,2,20,11,13,2,13,16,1,12,2,5,19
below_inside,27,5,2,11,0,15,0,6,4,0,9,5,1,9,2,12,0,1,13,1,8,1,0,7
below_left,41,1,0,8,0,18,4,10,4,0,13,2,3,5,5,5,3,5,6,1,3,2,2,6
below_outside,13,2,0,11,0,7,4,8,0,1,8,4,2,6,1,0,0,1,2,0,0,0,3,4
below_right,34,3,0,12,3,18,0,7,4,0,15,9,4,15,3,13,2,4,15,1,8,3,1,8
high_center,19,0,0,8,0,4,0,4,1,0,5,3,0,5,4,6,0,1,2,1,0,0,1,2
high_inside,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
high_left,17,4,0,10,0,4,1,4,1,0,8,4,1,9,1,4,0,1,2,0,2,0,1,5
high_outside,14,1,0,3,1,3,1,1,0,1,4,7,3,4,7,3,0,1,2,0,0,0,3,3
high_right,11,1,0,2,1,3,1,3,0,0,6,1,0,0,0,2,0,2,3,0,0,0,1,2
low_center,44,5,0,8,2,7,2,8,2,1,15,7,5,13,9,14,1,6,8,4,13,6,5,8
low_inside,13,1,0,3,0,6,0,3,0,0,3,4,0,2,0,5,0,0,3,0,3,0,0,1
low_left,55,4,0,15,1,13,1,7,1,1,10,9,1,21,4,14,0,2,10,4,4,2,3,10
low_outside,26,1,0,11,0,6,0,8,2,0,8,3,1,8,3,3,0,6,0,3,2,3,3,1
low_right,23,1,0,3,3,13,1,5,0,0,7,9,1,7,4,6,1,4,8,3,6,1,0,6
middle_center,41,3,1,6,0,15,1,9,1,2,15,4,2,8,5,12,0,0,16,2,6,0,2,9
middle_inside,5,1,0,0,0,2,1,1,2,0,1,1,0,3,0,4,0,0,0,1,4,1,0,2
middle_left,64,3,1,13,2,9,1,5,3,0,11,7,2,17,7,7,1,4,9,5,4,5,3,10
middle_outside,29,0,1,5,3,8,3,5,0,0,7,7,1,5,6,3,0,5,5,1,3,3,3,8
middle_right,28,2,2,7,0,7,0,1,2,0,3,3,2,4,4,5,0,0,3,0,5,0,0,7
