actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,0,1,3,0,2,3,0,0,0,19,0,2,0,1,2,7,5,7,1,0,0,0,2
above_inside,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
above_left,0,0,0,3,4,1,6,2,2,0,0,14,0,1,0,0,1,6,3,6,4,0,0,0,3
above_outside,2,0,0,1,0,1,5,2,1,0,0,6,0,0,0,1,2,4,2,9,4,0,0,0,4
above_right,0,0,0,0,1,0,1,1,0,0,0,7,0,1,0,0,0,2,1,3,0,0,0,0,1
below_center,0,2,0,3,1,8,37,13,8,7,0,16,0,6,0,1,5,7,8,18,5,2,1,1,5
below_inside,0,2,0,6,4,2,55,18,10,5,1,24,0,4,1,1,2,14,9,26,3,2,2,3,1
below_left,1,0,0,2,2,7,15,11,2,3,0,10,0,0,1,0,0,7,6,13,1,0,0,1,1
below_outside,1,0,0,0,0,4,10,2,2,2,0,5,0,0,0,1,1,2,4,3,0,1,0,0,0
below_right,1,0,0,4,6,4,44,12,4,7,0,22,0,3,0,0,1,16,6,23,5,2,3,3,1
high_center,0,0,0,5,2,1,11,6,3,1,1,27,0,0,0,2,4,18,9,19,7,1,0,0,4
high_inside,0,0,0,3,1,0,5,0,0,2,0,2,0,1,0,0,1,0,2,3,0,0,1,0,2
high_left,0,1,1,5,2,2,7,6,3,2,0,18,0,2,0,1,0,9,6,12,9,3,0,1,4
high_outside,2,0,0,0,2,1,3,5,0,2,0,8,0,1,0,1,0,5,6,2,5,0,1,1,1
high_right,0,2,1,1,1,1,6,3,0,0,1,13,0,2,0,0,0,5,2,7,0,1,0,0,1
low_center,0,0,2,2,2,1,10,12,0,6,0,25,0,5,0,1,2,14,9,29,7,2,0,5,4
low_inside,0,0,0,2,1,0,14,5,0,0,0,15,0,2,0,0,3,10,2,11,2,0,0,2,3
low_left,1,1,0,0,2,2,11,10,1,3,0,12,0,1,0,3,2,5,5,12,0,0,2,2,4
low_outside,1,0,0,1,1,1,6,4,0,1,0,5,0,2,0,0,0,5,2,7,1,0,0,0,0
low_right,1,0,0,2,1,1,13,7,0,2,1,24,0,1,0,2,5,13,10,21,5,1,0,0,2
middle_center,2,1,0,8,3,4,17,6,0,5,0,31,0,1,2,1,3,14,12,35,7,3,0,1,6
middle_inside,0,0,1,3,1,1,13,3,0,0,0,10,0,0,0,0,0,5,1,5,1,1,1,0,1
middle_left,1,0,0,6,4,3,4,8,0,2,0,21,0,2,0,0,0,10,9,19,4,1,3,0,5
middle_outside,1,0,0,3,1,1,4,8,3,2,0,5,0,3,1,2,1,5,6,6,0,1,0,1,1
middle_right,1,1,0,3,3,0,13,4,2,3,1,28,0,1,0,3,4,13,6,22,5,2,1,0,4
