actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,5,0,1,0,3,4,9,18,0,8,0,0,2,0,7,0,2,11,5,3,0,0,1,0
above_inside,0,0,0,1,0,1,2,2,0,0,1,0,0,0,0,1,2,0,3,0,1,0,0,1,0
above_left,0,2,0,0,0,2,1,9,5,0,3,0,0,0,0,5,1,1,3,1,2,0,0,4,1
above_outside,0,1,0,1,0,1,0,4,4,0,3,0,1,2,0,1,0,1,3,0,0,1,0,2,0
above_right,0,4,0,2,0,1,2,8,12,0,3,0,1,1,0,1,2,3,7,1,1,0,1,1,0
below_center,0,3,0,1,0,6,2,7,30,0,4,0,0,0,0,6,0,3,18,6,3,0,0,5,0
below_inside,0,24,0,0,1,10,61,10,43,0,11,0,0,2,0,5,6,4,32,8,6,1,0,11,5
below_left,0,0,0,1,0,0,0,4,9,0,1,0,0,1,0,2,0,3,4,1,1,0,0,1,0
below_outside,0,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
below_right,0,8,0,1,0,13,8,14,46,0,6,0,0,0,0,10,4,6,15,4,4,0,0,10,2
high_center,0,3,0,0,0,4,1,5,21,0,13,0,1,1,0,8,2,1,9,5,7,0,1,7,0
high_inside,0,4,0,1,0,2,2,1,7,0,5,0,0,1,0,2,1,2,5,0,1,0,0,0,0
high_left,0,7,0,0,0,4,1,5,12,0,5,0,0,0,0,7,1,1,8,3,2,0,0,6,0
high_outside,0,2,0,2,0,3,1,7,6,0,3,0,0,0,0,2,0,3,7,2,0,0,0,4,0
high_right,0,7,0,0,0,8,4,7,20,0,14,0,0,0,0,4,1,6,7,13,4,1,1,9,1
low_center,0,5,0,1,1,6,5,10,29,0,7,0,2,6,0,8,3,4,12,3,7,1,0,7,0
low_inside,0,1,0,1,0,2,13,4,18,0,11,0,0,1,0,4,3,2,12,14,8,2,1,6,0
low_left,0,2,0,1,0,3,1,6,18,0,3,0,0,0,0,3,1,3,14,1,0,0,0,8,0
low_outside,0,0,0,1,0,1,1,2,11,0,2,0,0,0,0,1,0,0,7,0,0,0,0,2,0
low_right,1,6,0,0,0,8,11,6,22,0,14,0,1,3,0,4,1,2,19,14,10,0,0,6,0
middle_center,0,7,0,4,0,5,3,8,17,0,6,0,0,5,0,7,1,9,18,6,9,0,1,9,0
middle_inside,0,4,0,1,0,3,5,3,13,0,9,0,0,0,0,4,3,1,8,5,4,1,0,6,0
middle_left,1,2,0,1,0,1,1,16,17,0,4,0,1,0,0,8,2,3,15,0,2,0,0,3,0
middle_outside,0,3,0,1,0,0,0,4,12,0,3,0,0,3,0,3,1,2,4,0,1,0,0,2,0
middle_right,0,4,0,2,0,3,7,8,25,0,18,0,2,5,0,5,6,1,11,9,11,1,0,6,2
