actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,12,1,0,6,1,0,6,9,0,2,1,5,1,0,0,3,0,3,0,1,3,5,4,1
above_inside,0,9,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
above_left,0,18,1,0,8,1,1,1,9,0,3,3,3,0,3,0,0,0,3,0,1,3,2,3,1
above_outside,0,24,2,0,10,3,1,3,2,0,4,3,4,0,0,0,0,0,3,0,1,4,1,3,0
above_right,0,9,1,0,2,1,0,1,3,0,2,1,0,0,0,0,0,0,1,0,1,1,0,3,0
below_center,0,32,0,0,9,0,0,1,16,0,1,0,4,0,2,1,1,0,8,0,2,3,8,7,2
below_inside,0,56,3,0,15,0,2,4,14,0,11,14,7,0,12,0,12,0,9,0,1,23,2,10,7
below_left,1,9,2,0,2,1,0,2,2,0,1,2,0,0,0,0,1,1,0,0,0,1,0,2,0
below_outside,0,5,0,0,2,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
below_right,0,34,0,0,8,1,0,0,10,0,4,6,2,0,4,1,9,0,9,0,1,12,3,8,3
high_center,0,33,2,0,14,1,0,3,11,0,2,5,4,0,3,0,5,0,8,0,4,11,4,7,1
high_inside,0,16,1,0,3,0,0,0,2,0,1,1,0,0,1,0,4,0,1,0,0,1,1,1,0
high_left,2,26,3,0,10,4,0,6,5,0,5,5,5,0,4,0,5,1,2,0,2,6,4,9,0
high_outside,3,22,2,0,2,0,2,7,6,0,4,3,5,0,2,0,2,0,6,0,2,5,1,5,2
high_right,0,26,1,0,5,2,0,1,7,0,5,5,3,0,3,0,3,0,4,1,0,7,2,6,0
low_center,2,31,1,0,14,0,2,2,13,0,2,4,6,1,4,1,2,0,3,0,3,10,4,7,4
low_inside,0,32,1,0,6,0,1,3,8,0,0,6,4,0,1,1,16,1,7,0,2,16,1,2,3
low_left,0,24,1,0,11,0,1,3,9,0,1,2,1,0,4,0,4,0,5,0,3,2,1,5,4
low_outside,0,12,0,0,5,1,0,1,7,0,0,2,1,0,4,0,1,0,1,0,3,2,1,4,1
low_right,0,42,3,0,16,1,2,2,10,0,2,8,2,0,9,0,9,1,7,0,4,16,3,10,3
middle_center,2,47,3,0,9,4,2,4,22,0,4,12,6,0,12,0,11,0,10,0,3,11,7,9,4
middle_inside,2,25,0,0,7,1,0,2,8,0,1,3,6,0,5,0,5,1,5,0,0,8,0,4,2
middle_left,3,22,2,1,16,1,0,1,13,0,1,4,7,1,1,0,4,1,6,0,1,13,4,11,1
middle_outside,2,13,0,0,3,0,0,3,7,0,1,5,4,0,4,0,1,0,3,0,1,4,2,9,1
middle_right,2,46,3,0,12,2,3,1,16,0,5,4,12,0,3,1,10,1,7,0,0,13,3,4,3
