actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,2,0,1,0,5,2,5,0,0,4,0,1,0,0,0,1,1,2,0,0,0,0,0
above_inside,0,0,0,0,2,0,3,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
above_left,0,0,4,2,3,0,5,2,5,0,0,3,0,1,0,0,0,3,0,2,0,0,0,0,0
above_outside,0,0,2,1,3,0,3,1,3,0,0,3,0,0,2,0,0,0,0,2,0,0,1,1,0
above_right,1,0,0,0,1,0,3,1,7,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0
below_center,2,0,9,0,14,0,27,4,24,6,0,11,2,4,4,0,2,5,0,19,1,0,0,2,0
below_inside,11,0,5,2,10,0,41,0,9,4,0,4,1,0,2,0,2,1,2,21,1,0,0,0,1
below_left,11,0,8,1,16,1,12,4,31,8,0,10,0,0,1,0,1,2,2,8,0,0,0,2,0
below_outside,3,0,4,0,8,1,3,3,9,1,0,4,0,0,0,0,0,2,0,7,0,0,0,0,0
below_right,14,2,3,0,2,0,29,5,18,3,0,7,1,0,3,0,0,4,1,14,0,0,3,2,0
high_center,0,0,3,3,7,0,12,4,12,1,0,6,0,1,1,0,1,2,2,12,0,0,0,3,1
high_inside,1,1,4,0,2,0,7,0,9,1,0,3,0,0,2,0,0,3,1,1,0,0,0,1,0
high_left,3,0,1,2,1,0,13,2,6,2,0,7,0,2,2,0,0,2,1,11,0,0,0,3,0
high_outside,3,0,4,1,6,0,4,0,15,2,0,6,3,2,0,0,0,2,1,6,1,0,0,3,0
high_right,1,0,5,1,5,0,13,2,7,1,0,2,1,0,2,0,1,4,0,8,0,0,0,0,0
low_center,5,2,3,0,8,0,38,6,22,8,0,11,1,0,1,0,0,10,1,21,1,0,2,3,0
low_inside,7,1,3,2,7,0,21,3,4,3,0,3,2,0,1,0,1,1,0,28,3,0,0,1,0
low_left,7,1,8,2,13,0,17,5,29,2,0,17,0,5,0,0,0,6,1,11,0,0,0,4,0
low_outside,5,1,5,2,9,0,11,8,18,3,0,12,2,2,1,0,1,4,2,6,1,0,0,4,0
low_right,3,0,4,0,6,0,18,0,10,6,0,10,3,1,2,0,1,4,1,35,0,0,0,3,0
middle_center,11,0,5,1,6,0,18,2,19,3,0,12,0,2,1,0,1,7,0,27,0,0,1,4,0
middle_inside,5,1,2,0,5,0,13,0,13,1,0,3,0,0,0,0,0,1,0,16,0,0,0,1,0
middle_left,3,1,8,2,5,0,6,2,14,2,0,8,3,2,2,0,0,5,2,13,1,0,1,6,0
middle_outside,5,0,5,5,8,0,7,5,18,2,0,14,3,4,3,0,0,8,1,13,0,0,1,8,0
middle_right,6,0,7,2,7,0,15,0,11,0,0,7,1,0,1,0,0,2,2,28,0,0,0,2,1
