actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,6,0,0,0,1,0,15,1,0,0,0,0,0,0,4,2,6,0,1,1,2,1,0,9,5
above_inside,3,1,2,0,3,3,29,0,0,2,1,0,0,0,8,4,20,2,0,7,2,2,0,4,1
above_left,0,0,0,0,0,0,10,1,0,0,1,1,2,0,4,1,3,0,0,0,0,2,0,3,0
above_outside,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
above_right,6,2,0,1,1,0,24,3,0,1,2,0,3,0,14,5,17,3,1,5,7,2,0,7,6
below_center,11,2,0,0,3,5,42,15,3,4,2,0,3,0,22,4,20,3,1,3,7,7,2,5,2
below_inside,1,1,0,1,0,0,13,0,0,1,0,0,1,0,4,1,1,0,0,0,1,0,0,1,0
below_left,8,2,0,1,1,7,40,11,7,5,9,0,3,0,17,7,39,3,0,6,5,0,2,8,3
below_outside,9,0,1,3,1,3,24,11,5,4,3,0,6,0,25,10,8,3,1,4,5,0,2,11,7
below_right,3,0,0,0,0,2,21,1,0,2,0,0,1,0,11,2,12,2,0,2,1,0,0,3,6
high_center,5,1,2,0,4,1,24,7,1,1,4,0,1,0,22,2,17,5,0,10,7,4,3,7,3
high_inside,5,0,2,0,0,2,26,1,2,2,3,0,2,0,8,1,11,2,1,4,7,5,1,7,2
high_left,4,0,3,2,1,0,12,1,0,1,2,0,2,0,6,6,10,0,1,0,1,1,0,7,1
high_outside,1,0,0,0,0,0,8,1,1,1,0,0,1,0,3,0,2,0,0,2,0,0,0,1,1
high_right,9,0,2,0,1,1,38,3,1,0,6,0,3,0,8,5,14,6,1,8,6,4,0,9,3
low_center,13,2,1,0,4,1,31,6,3,2,4,1,8,0,22,11,19,3,0,10,8,2,3,6,8
low_inside,2,2,0,0,0,1,19,1,1,0,1,0,1,0,8,0,16,0,0,2,3,2,1,1,3
low_left,7,1,0,1,3,1,13,4,2,3,6,1,10,0,21,4,18,4,0,6,6,4,2,10,1
low_outside,7,0,0,0,4,4,4,6,2,0,4,0,2,0,9,5,7,0,0,1,4,0,2,7,3
low_right,7,1,2,2,0,3,28,3,2,1,4,0,3,0,14,2,18,1,1,3,6,2,0,6,2
middle_center,8,1,3,2,2,3,37,8,0,1,8,0,5,0,28,11,19,1,0,12,6,3,2,18,8
middle_inside,3,2,2,0,3,0,31,1,1,0,1,0,2,0,9,4,17,4,2,5,5,1,2,8,2
middle_left,9,0,1,0,0,2,20,3,2,2,8,0,2,0,8,9,7,1,1,8,4,1,0,10,3
middle_outside,3,0,0,0,2,0,5,1,1,0,0,0,1,0,8,0,3,0,1,3,1,6,1,1,5
middle_right,11,1,0,1,3,4,34,8,1,1,8,1,4,0,18,7,20,4,1,5,9,6,1,16,3
