actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,3,0,3,1,1,7,3,23,0,1,13,0,1,1,11,6,7,7,0,0,10,3,0,0
above_inside,1,1,0,1,0,0,5,3,9,0,0,2,0,2,1,1,1,0,6,0,0,3,0,0,1
above_left,2,0,0,1,0,3,17,0,19,0,0,5,0,2,0,11,3,6,7,1,0,4,3,0,1
above_outside,3,0,0,3,0,2,1,0,10,0,1,1,0,4,0,3,1,4,4,0,0,2,1,0,0
above_right,1,2,0,3,1,1,10,7,14,0,0,6,0,2,0,5,5,5,5,0,0,7,1,0,0
below_center,3,1,0,2,0,1,4,2,25,0,0,2,0,5,2,12,2,14,15,1,1,3,0,0,0
below_inside,4,4,0,2,1,1,16,3,32,0,2,10,0,5,4,8,4,10,10,2,1,10,0,0,2
below_left,2,0,0,1,0,1,1,2,17,0,1,0,0,1,0,3,1,6,6,0,0,0,2,0,0
below_outside,0,0,0,0,0,0,1,0,9,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0
below_right,9,0,0,3,5,2,6,5,39,0,5,8,0,3,0,9,3,15,6,0,0,8,3,0,1
high_center,3,3,0,4,1,1,7,0,19,1,2,10,1,2,4,13,8,9,11,2,2,10,5,1,3
high_inside,0,1,0,1,0,2,7,0,10,0,4,11,0,2,2,3,6,4,6,0,0,10,0,0,1
high_left,2,2,0,2,1,1,11,1,20,0,4,4,0,2,3,11,4,7,7,0,0,9,3,0,2
high_outside,0,0,0,0,0,0,4,0,13,0,3,1,0,3,0,7,4,6,4,0,0,1,1,0,0
high_right,1,5,0,2,1,2,13,2,17,0,3,9,1,1,3,12,1,6,12,2,1,23,3,0,1
low_center,2,0,0,2,0,5,6,1,32,0,3,4,0,3,1,10,6,11,10,0,2,6,4,0,1
low_inside,3,2,0,2,3,1,12,0,14,0,1,5,0,3,0,5,6,4,6,0,0,12,0,0,0
low_left,0,0,0,3,1,1,3,2,21,0,1,3,0,3,0,8,4,9,4,0,0,4,4,0,2
low_outside,3,0,0,1,0,0,0,1,9,0,2,0,0,0,0,8,0,6,4,0,0,0,1,0,0
low_right,2,2,0,4,1,1,10,0,11,1,1,7,0,1,2,17,4,7,4,0,0,7,2,0,1
middle_center,2,1,0,5,0,0,5,0,32,0,2,4,0,2,5,23,15,15,4,1,2,10,2,0,2
middle_inside,2,4,0,4,0,1,8,0,10,0,0,10,0,4,2,1,7,2,4,0,0,9,2,0,1
middle_left,3,2,0,1,0,1,5,1,19,0,2,4,0,3,1,19,9,7,3,0,0,5,2,0,2
middle_outside,0,0,0,1,0,0,3,0,10,0,1,0,0,1,0,7,2,2,3,0,1,1,0,0,0
middle_right,2,3,0,0,0,2,8,2,17,0,7,7,0,2,7,5,7,5,9,1,0,7,3,0,1
