actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,5,1,2,12,1,1,2,3,0,0,2,3,4,0,0,7,0,0,0,1,3,1,0,0
above_inside,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
above_left,2,8,1,3,9,2,2,0,1,0,2,1,4,8,0,0,4,1,0,0,0,3,1,0,1
above_outside,2,1,2,5,13,1,1,0,7,1,1,0,4,6,2,0,9,0,0,1,0,1,4,0,0
above_right,1,1,1,0,7,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,2
below_center,1,8,1,7,24,1,0,6,8,0,2,1,0,2,1,1,22,2,0,1,3,7,12,1,0
below_inside,4,8,0,5,34,1,0,2,4,1,1,3,1,5,0,0,23,0,0,0,0,9,7,0,4
below_left,4,7,2,5,36,3,0,3,7,1,0,0,0,5,1,2,17,2,1,0,1,5,14,0,2
below_outside,6,2,1,0,8,0,1,1,7,0,0,1,3,1,0,0,6,0,0,0,0,6,4,0,2
below_right,1,5,0,4,21,0,1,1,3,1,1,0,3,4,0,2,16,0,0,0,0,2,11,0,1
high_center,0,2,2,6,24,5,0,3,6,1,2,3,7,9,0,0,10,0,0,1,2,7,13,0,1
high_inside,1,2,1,1,4,1,2,0,2,0,2,2,1,1,0,0,1,0,0,0,0,1,1,0,0
high_left,4,5,3,8,25,2,0,0,2,0,4,1,4,9,0,1,13,1,0,1,0,5,8,0,2
high_outside,2,3,0,4,14,0,2,1,2,1,7,1,5,6,0,2,21,4,0,1,0,4,10,0,0
high_right,0,5,0,0,18,2,1,0,8,1,3,0,2,4,0,0,9,2,0,2,1,1,2,0,0
low_center,2,6,0,5,26,2,1,2,3,0,4,0,13,14,0,3,14,5,0,0,1,5,17,0,2
low_inside,5,5,2,1,17,1,3,0,4,0,3,1,5,2,0,0,15,1,0,0,0,8,3,0,2
low_left,6,7,0,7,26,2,2,3,7,1,2,3,3,8,0,2,15,0,1,1,3,7,19,1,2
low_outside,7,5,4,1,20,3,1,0,16,0,0,2,2,6,0,0,13,1,0,1,1,2,10,0,1
low_right,5,2,1,4,13,1,0,3,2,1,3,3,2,4,0,1,14,2,0,0,0,6,13,0,2
middle_center,3,8,0,4,30,5,1,3,7,0,3,2,5,15,0,2,21,4,0,0,4,6,12,0,1
middle_inside,4,2,0,0,11,0,1,1,3,0,2,2,1,3,0,0,7,0,0,0,0,6,0,0,1
middle_left,6,9,1,8,28,3,2,6,6,1,7,2,8,9,0,3,16,4,0,1,2,3,16,0,0
middle_outside,4,7,2,8,19,4,3,1,3,0,1,3,2,9,1,2,16,4,0,4,1,2,17,0,0
middle_right,2,3,2,2,14,0,0,2,3,1,2,4,2,6,0,1,13,0,0,2,2,1,12,0,2
