actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,4,2,5,2,11,1,2,9,3,0,3,4,0,7,0,4,0,5,2,1,1,4,4,0
above_inside,0,1,1,1,0,2,0,1,2,0,0,2,0,0,1,0,5,0,1,0,0,0,0,0,0
above_left,0,3,0,4,2,6,0,5,9,2,0,1,3,2,7,1,3,2,3,6,2,2,3,0,3
above_outside,0,1,3,4,0,5,0,4,6,4,0,1,4,0,8,3,2,2,2,2,0,0,3,1,1
above_right,0,2,0,7,2,5,2,5,4,0,0,2,2,0,7,0,4,2,3,3,0,0,3,5,0
below_center,1,2,1,4,0,10,0,7,13,1,1,4,2,2,5,0,3,0,8,1,2,0,2,6,1
below_inside,4,3,0,7,3,7,5,1,14,5,0,7,4,2,15,1,13,2,5,8,3,1,2,10,2
below_left,0,1,0,0,0,7,0,4,13,1,0,2,3,0,2,0,0,0,4,1,0,0,0,2,0
below_outside,2,1,0,2,0,1,1,2,5,0,0,0,1,0,1,0,0,1,0,1,0,0,0,5,0
below_right,0,1,1,4,3,6,1,4,15,4,0,6,6,0,10,2,10,2,8,5,2,0,4,4,1
high_center,2,2,2,9,0,11,1,2,13,3,0,4,2,3,5,2,10,3,5,12,4,0,8,13,3
high_inside,0,0,0,7,0,5,0,0,5,0,0,2,5,0,2,1,3,2,5,3,1,0,0,7,0
high_left,0,4,2,6,1,12,1,5,10,3,0,3,9,2,8,1,8,2,6,2,5,1,2,6,4
high_outside,1,3,1,4,0,14,0,0,5,1,0,3,5,1,9,1,1,1,6,3,0,0,3,3,0
high_right,3,2,2,1,2,13,1,4,6,2,0,5,5,2,6,1,6,2,9,6,1,0,5,5,4
low_center,3,4,3,4,1,16,2,5,17,4,0,2,9,3,5,0,5,2,15,5,3,0,10,8,3
low_inside,3,2,1,2,2,12,2,2,9,2,1,2,4,3,8,2,10,3,3,5,0,0,0,10,1
low_left,1,2,2,2,0,10,0,7,16,1,0,2,1,1,4,1,3,3,7,4,0,0,2,3,0
low_outside,1,2,0,7,0,4,1,1,3,0,0,0,0,0,1,0,0,0,3,2,0,0,1,3,0
low_right,4,2,3,3,0,15,1,3,7,3,0,2,13,5,4,1,16,3,11,11,3,1,3,6,7
middle_center,3,4,1,5,1,21,1,7,12,5,0,6,15,2,19,3,11,4,11,7,8,3,5,18,2
middle_inside,1,1,1,3,0,6,0,1,6,3,0,3,5,1,7,2,3,4,9,7,0,0,1,8,1
middle_left,2,2,1,6,2,12,1,6,13,4,0,5,7,3,6,3,2,7,3,8,3,0,6,9,3
middle_outside,0,3,1,6,0,7,1,0,6,2,0,3,3,3,2,0,3,2,5,3,0,0,2,1,1
middle_right,2,3,1,10,3,12,0,4,16,7,0,2,8,4,22,0,7,2,6,12,7,0,9,12,4
