actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,10,4,0,1,0,2,3,2,1,0,2,1,3,1,0,0,1,1,0,0,4,1,1,0
above_inside,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
above_left,3,1,3,1,3,0,1,2,5,4,1,2,2,5,2,1,0,0,3,0,0,2,2,1,0
above_outside,8,6,7,2,2,0,2,5,6,3,0,4,2,6,0,1,0,0,1,0,0,1,1,0,3
above_right,1,5,2,0,2,0,1,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0
below_center,12,3,8,1,6,1,1,7,11,7,1,9,5,6,3,1,1,2,0,0,1,2,3,2,4
below_inside,13,13,20,2,17,2,8,6,13,12,1,28,4,15,3,5,0,9,5,0,3,12,4,2,8
below_left,4,4,2,1,2,0,0,4,7,3,0,11,4,2,1,0,0,3,0,0,1,0,0,0,1
below_outside,2,1,3,0,0,0,0,3,4,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0
below_right,10,7,9,1,7,3,1,9,14,14,1,16,8,5,3,2,0,3,2,0,0,0,0,2,7
high_center,7,6,8,1,4,0,2,3,7,3,1,8,0,2,1,0,0,1,0,0,0,3,3,1,4
high_inside,2,2,3,0,0,0,0,1,1,0,0,4,0,0,1,0,1,1,0,0,2,0,0,1,2
high_left,4,4,8,1,3,0,3,3,8,0,1,12,2,5,2,2,0,0,1,0,0,2,0,3,2
high_outside,5,5,12,1,4,0,0,6,14,3,0,7,5,8,2,2,0,0,0,0,0,2,4,1,4
high_right,1,3,4,0,4,0,0,3,5,1,1,6,3,3,0,2,0,1,0,0,0,2,0,0,2
low_center,12,13,17,4,16,1,1,10,14,7,0,28,12,7,6,6,0,2,1,0,3,2,2,2,8
low_inside,6,7,10,0,14,1,1,7,7,4,0,19,3,4,3,2,0,1,1,0,1,1,3,3,9
low_left,6,4,12,1,6,0,0,4,6,5,1,15,6,5,5,2,0,3,1,0,0,1,1,1,5
low_outside,4,5,7,1,2,0,0,1,3,1,0,8,7,5,1,1,0,0,1,0,2,0,1,0,3
low_right,8,7,18,0,11,6,2,5,20,7,1,18,11,10,4,2,1,2,3,0,0,6,2,2,8
middle_center,8,3,11,2,14,2,4,6,9,1,1,17,9,9,7,1,1,3,0,0,0,5,0,1,2
middle_inside,2,5,7,0,4,0,3,2,5,0,0,8,3,0,3,1,0,1,0,0,0,3,0,0,1
middle_left,11,7,15,1,5,0,2,7,4,5,1,14,8,11,5,1,0,2,2,0,1,2,1,4,4
middle_outside,4,5,9,1,6,0,0,5,4,1,0,15,9,10,0,1,0,0,1,0,2,0,1,0,3
middle_right,7,9,5,0,5,1,2,6,14,2,1,12,9,3,3,2,0,2,2,0,1,2,1,3,9
