actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,10,2,5,5,1,4,0,6,4,0,3,0,0,3,1,2,0,5,2,0,0,1,13,0
above_inside,1,6,1,1,0,0,1,0,0,0,0,1,0,0,4,0,1,0,2,0,0,0,0,5,0
above_left,1,7,4,4,6,0,0,1,3,3,0,1,0,0,3,0,1,0,1,1,0,1,1,9,0
above_outside,1,3,0,2,2,0,1,1,2,1,0,1,0,0,4,0,1,0,0,0,0,0,1,3,0
above_right,1,6,6,2,7,1,2,0,2,2,0,3,0,0,3,0,4,0,4,0,0,0,0,10,0
below_center,3,19,11,7,10,0,4,0,6,5,0,5,0,0,10,1,4,1,9,7,0,0,5,29,0
below_inside,0,26,7,6,18,0,15,2,6,10,0,3,0,1,17,3,19,1,7,7,1,1,0,13,1
below_left,2,7,8,8,3,0,2,0,7,3,0,3,0,0,4,2,2,0,5,4,0,0,2,24,0
below_outside,1,5,2,2,5,0,0,0,4,0,0,0,0,0,2,0,0,0,2,1,0,0,1,7,0
below_right,1,12,6,11,7,0,11,0,10,8,0,10,0,0,8,4,10,0,4,10,0,0,2,23,0
high_center,1,5,3,2,2,0,2,0,3,2,0,5,0,0,11,4,9,1,4,1,0,0,2,18,1
high_inside,1,5,3,4,5,0,1,1,0,0,0,2,0,0,3,1,2,0,4,1,0,0,0,6,0
high_left,0,2,5,4,0,0,0,0,3,1,0,2,0,0,2,0,1,0,5,2,0,0,1,9,0
high_outside,1,5,3,2,2,0,1,0,1,0,0,2,0,0,6,1,2,0,4,0,0,0,1,7,0
high_right,0,11,1,7,3,0,8,0,5,4,0,3,0,1,14,2,5,1,6,0,0,0,0,12,0
low_center,1,4,6,6,4,0,6,0,5,9,0,4,0,1,9,5,9,2,5,9,2,0,4,31,2
low_inside,0,12,4,3,8,0,2,1,1,5,0,1,0,0,12,4,14,1,6,4,0,0,3,14,2
low_left,0,16,6,4,4,0,5,1,12,4,0,8,0,0,5,7,7,1,4,2,0,0,3,46,0
low_outside,1,6,2,6,5,0,3,1,6,6,0,8,0,0,10,0,7,0,6,1,0,0,4,28,0
low_right,0,9,4,0,9,0,10,0,2,5,0,6,0,1,5,4,19,0,6,9,2,0,3,16,1
middle_center,0,5,5,5,1,1,5,0,2,1,0,2,0,0,7,12,10,1,7,11,1,1,2,16,0
middle_inside,0,13,7,1,5,0,5,0,6,3,0,3,0,0,11,3,11,1,3,2,1,0,2,17,0
middle_left,1,5,6,9,4,0,1,1,6,8,0,4,0,0,9,6,7,0,8,2,1,0,3,38,0
middle_outside,1,4,3,8,3,0,6,0,7,3,0,7,0,0,8,5,7,1,4,2,1,0,0,31,0
middle_right,1,8,9,3,8,0,2,1,3,7,0,5,0,0,12,7,24,2,5,6,2,0,3,26,2
