actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,18,6,0,6,7,6,0,12,5,5,0,2,0,5,1,2,1,11,3,0,5,1,2,3
above_inside,0,2,0,1,1,1,2,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1
above_left,4,6,2,0,2,5,2,2,16,5,3,6,0,1,0,1,2,2,8,9,1,3,0,5,5
above_outside,4,7,2,0,3,5,3,1,8,3,2,3,3,2,3,1,1,0,5,5,0,2,0,2,2
above_right,2,7,5,1,2,0,0,2,6,1,0,1,0,0,1,0,1,2,5,2,0,3,0,0,1
below_center,8,12,5,1,9,5,7,3,16,2,5,7,2,0,2,3,6,5,12,15,1,6,0,1,3
below_inside,2,11,1,0,11,1,19,0,9,5,2,4,2,0,0,1,6,1,11,13,0,4,2,0,5
below_left,3,15,6,1,3,3,7,2,15,1,2,0,1,0,4,2,5,3,16,1,0,5,1,0,3
below_outside,3,9,2,0,9,3,3,1,16,2,1,1,1,0,2,1,1,4,9,0,0,2,0,1,1
below_right,2,18,4,1,4,2,8,3,10,4,3,7,2,2,1,1,6,5,9,9,0,4,0,1,5
high_center,8,11,1,1,5,2,2,1,9,2,2,6,4,2,6,1,5,4,12,14,1,6,1,1,6
high_inside,0,1,2,0,1,1,2,0,3,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,1
high_left,2,9,3,0,2,1,2,0,18,5,2,3,3,1,3,2,7,6,11,8,0,4,1,4,3
high_outside,4,9,3,3,3,2,1,0,11,1,4,2,4,0,1,2,0,3,13,7,0,1,0,1,1
high_right,1,3,0,0,3,2,1,0,6,0,1,0,8,0,1,1,3,0,7,4,0,0,1,0,1
low_center,3,20,2,1,8,2,5,3,18,2,2,10,4,1,6,2,7,2,10,13,0,3,0,2,7
low_inside,0,2,2,0,2,1,4,1,7,1,1,2,1,0,2,0,1,3,6,8,0,3,1,0,2
low_left,3,10,2,1,6,4,3,0,11,2,2,11,4,1,2,2,3,7,14,8,1,2,2,1,6
low_outside,2,13,1,1,6,4,5,3,17,2,2,4,1,1,2,0,2,3,18,9,0,3,1,2,4
low_right,2,11,2,2,5,1,4,2,9,2,1,5,0,0,2,2,3,7,12,9,1,4,0,0,5
middle_center,4,13,1,1,3,3,5,0,9,0,5,7,8,4,6,7,5,3,14,13,1,4,1,2,8
middle_inside,0,1,0,0,2,0,0,1,2,0,1,1,0,0,1,1,1,1,6,1,0,0,0,0,2
middle_left,6,14,1,4,7,3,4,2,14,4,8,8,4,1,8,0,5,8,17,13,1,2,0,1,7
middle_outside,2,4,3,1,7,2,4,3,20,1,4,7,1,1,5,1,2,3,32,9,0,3,0,2,2
middle_right,2,3,0,0,5,1,4,1,6,2,4,1,5,1,1,2,3,2,6,9,0,3,0,1,2
