actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,31,0,0,10,0,3,1,8,1,11,14,5,3,11,3,2,8,29,0,0,4,3,6,0
above_inside,0,6,0,0,4,0,1,1,3,1,5,3,2,4,3,0,0,0,9,0,0,3,0,1,0
above_left,2,30,0,0,5,0,3,2,11,2,21,11,3,3,13,0,2,4,38,0,0,2,1,4,1
above_outside,0,16,0,0,5,0,0,1,6,0,6,9,2,3,2,0,1,4,20,0,0,0,3,1,0
above_right,2,32,1,0,7,0,0,0,6,0,12,7,0,10,12,0,1,1,21,0,0,5,0,6,0
below_center,2,15,0,1,4,2,0,1,2,0,2,6,2,3,4,0,0,2,28,1,0,1,0,0,0
below_inside,0,23,0,0,6,0,1,2,4,0,10,8,3,2,13,0,1,1,12,0,0,9,0,1,0
below_left,1,7,0,0,2,0,0,2,1,1,1,1,1,1,2,0,0,2,13,0,0,2,2,0,0
below_outside,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,6,0,0,0,0,1,0
below_right,2,15,0,0,6,0,1,2,2,1,5,9,1,4,7,0,0,3,18,0,0,5,2,4,0
high_center,1,23,1,0,7,1,3,4,13,2,21,19,10,5,22,1,2,6,45,1,0,9,2,6,0
high_inside,1,16,0,0,3,0,0,1,4,4,6,8,1,3,9,0,0,3,9,0,0,7,0,3,0
high_left,2,14,0,0,6,0,1,3,9,1,9,6,2,3,14,1,0,6,27,1,0,3,3,1,1
high_outside,0,4,0,1,6,0,0,1,2,0,2,3,2,1,7,0,0,2,20,0,1,0,1,2,0
high_right,0,20,0,1,7,0,1,0,4,1,17,15,1,6,13,0,3,3,31,0,0,1,1,3,1
low_center,2,19,0,0,11,0,0,2,7,0,13,9,3,4,14,1,1,7,25,1,0,3,2,3,0
low_inside,0,24,0,0,6,0,2,1,1,0,12,3,2,3,7,0,3,2,10,0,0,4,0,1,0
low_left,0,10,0,0,6,0,0,0,3,1,7,3,0,4,1,0,0,1,23,0,0,4,0,9,0
low_outside,1,3,0,0,0,0,0,1,1,1,1,1,0,1,2,0,0,1,3,0,0,0,1,1,0
low_right,0,20,0,1,3,0,1,3,6,0,16,16,3,4,7,0,0,5,16,0,0,4,1,3,0
middle_center,1,19,0,0,8,0,1,7,14,1,21,13,3,6,12,0,1,11,40,0,1,7,2,4,0
middle_inside,1,26,0,0,6,0,0,0,1,0,15,9,2,3,11,0,0,1,12,0,0,6,0,0,0
middle_left,1,13,0,0,4,0,1,3,7,0,10,5,1,3,4,1,0,4,25,0,0,3,1,6,0
middle_outside,0,9,0,1,1,0,0,1,5,0,4,3,2,2,5,0,0,1,12,0,0,1,1,3,0
middle_right,2,34,0,0,8,0,0,2,4,0,16,12,8,4,10,0,2,8,25,0,0,11,5,5,0
