actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,4,1,0,0,2,1,11,0,2,0,13,0,1,1,3,17,1,6,1,0,3,1,2,2
above_inside,0,0,0,0,0,1,0,6,0,0,0,2,0,0,0,2,2,1,0,2,0,0,0,0,0
above_left,0,1,0,0,1,2,1,8,0,1,0,6,1,2,0,7,1,3,1,0,0,0,0,1,0
above_outside,0,0,0,0,0,1,1,6,1,0,0,2,0,2,1,3,7,0,2,1,0,2,0,0,1
above_right,0,0,0,0,0,2,0,11,0,0,0,4,0,1,0,8,13,1,2,1,1,0,0,1,2
below_center,0,3,1,0,2,7,1,13,2,3,0,3,0,2,0,10,6,1,4,4,1,5,2,2,4
below_inside,0,6,0,0,2,5,7,33,1,8,0,21,1,1,0,6,25,2,4,8,0,6,0,3,5
below_left,0,0,0,0,1,6,1,17,2,2,0,3,0,4,0,3,5,0,0,0,0,1,0,2,2
below_outside,0,0,0,0,0,1,2,5,0,1,0,1,0,1,0,1,2,2,0,0,0,0,0,0,2
below_right,0,0,0,0,0,6,1,27,2,4,1,12,1,1,0,9,10,1,4,1,1,2,0,0,3
high_center,0,1,0,0,2,5,0,28,2,1,2,12,0,9,2,16,14,4,9,6,0,3,0,2,4
high_inside,0,3,0,0,0,4,0,8,0,1,2,5,0,1,0,6,8,1,2,0,0,1,0,0,1
high_left,0,1,0,0,0,6,0,20,2,2,1,8,0,3,1,15,10,2,2,4,0,0,0,3,2
high_outside,0,0,0,0,0,2,1,9,0,1,1,2,0,2,2,8,7,2,7,2,0,0,1,1,1
high_right,0,9,0,0,0,6,2,20,0,2,0,16,0,4,1,15,18,1,7,3,1,1,1,1,4
low_center,0,0,1,0,1,2,0,29,1,0,1,6,2,8,1,10,14,6,15,2,0,5,1,1,7
low_inside,0,6,0,0,2,6,2,18,0,1,0,11,1,6,2,6,27,2,5,6,0,6,0,2,6
low_left,0,3,0,0,0,7,0,14,1,1,0,5,0,2,1,7,10,5,3,1,0,0,1,2,6
low_outside,0,1,0,0,0,1,0,2,0,1,0,0,0,2,1,8,2,0,3,0,1,0,0,1,1
low_right,0,2,0,0,1,6,2,16,2,4,1,12,3,9,1,10,17,2,14,8,0,6,0,4,9
middle_center,0,5,0,0,0,6,0,33,3,4,4,14,1,8,0,14,20,6,11,7,0,3,1,7,6
middle_inside,1,3,0,0,2,9,1,15,3,2,1,9,0,6,3,8,19,2,6,6,0,4,0,1,2
middle_left,0,3,0,0,1,6,0,18,0,1,1,9,0,8,2,14,8,5,4,2,1,3,0,5,5
middle_outside,1,0,0,0,1,3,1,9,2,0,1,3,0,3,0,8,11,3,2,3,0,0,0,0,1
middle_right,1,3,0,0,2,6,0,35,1,5,2,12,2,5,1,12,25,4,13,3,1,5,2,8,3
