actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,6,3,2,15,0,0,5,0,0,0,3,2,0,2,0,3,0,1,0,0,0,0,4,3
above_inside,3,3,1,2,2,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,2
above_left,6,2,5,0,20,0,0,2,1,0,0,5,0,0,0,0,2,0,0,0,0,1,1,5,4
above_outside,3,6,3,0,21,0,0,8,1,0,0,2,1,0,1,0,2,0,0,2,0,0,0,1,0
above_right,4,5,0,0,17,0,1,1,0,0,0,2,0,0,3,0,1,0,2,0,0,2,0,1,3
below_center,8,3,5,0,32,0,2,5,1,0,0,5,1,0,1,0,8,0,2,0,0,1,1,10,6
below_inside,30,25,4,2,48,0,7,11,2,0,0,13,3,0,4,0,38,0,6,5,0,12,3,9,31
below_left,1,0,1,1,14,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,2
below_outside,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,1
below_right,11,8,5,2,48,0,2,5,2,0,0,9,0,0,6,0,8,0,1,0,0,3,0,6,14
high_center,10,5,2,1,42,0,0,4,1,0,0,7,1,0,3,0,7,1,2,1,0,2,2,3,6
high_inside,4,5,3,0,22,1,0,2,2,0,0,6,0,0,0,0,3,0,0,0,0,2,0,2,4
high_left,6,6,2,2,28,0,1,9,1,0,0,5,4,0,1,0,5,0,1,1,0,0,1,4,7
high_outside,8,3,3,0,15,0,0,5,0,0,0,1,1,0,3,0,1,0,2,2,0,1,0,5,0
high_right,9,8,1,0,28,0,0,4,0,0,0,5,0,0,0,0,6,0,1,1,0,1,3,2,6
low_center,19,11,15,2,41,0,0,5,0,0,1,8,3,0,4,0,9,0,3,2,0,3,2,11,8
low_inside,20,9,3,1,31,0,2,7,0,1,0,7,2,0,5,0,20,0,5,2,0,7,4,6,18
low_left,2,4,4,0,31,0,0,7,1,1,2,1,0,0,3,0,11,2,2,0,0,1,1,4,1
low_outside,2,0,3,1,11,0,0,1,0,0,2,3,3,0,2,0,1,0,1,0,0,0,0,1,1
low_right,17,9,10,0,33,0,0,11,0,0,0,4,2,0,3,0,14,0,3,1,1,2,2,9,16
middle_center,10,10,4,2,37,0,1,8,0,1,1,4,1,0,2,0,18,0,1,4,0,3,4,10,12
middle_inside,8,6,3,0,33,0,1,2,2,1,0,1,0,0,2,0,4,0,3,2,0,4,0,9,14
middle_left,16,4,3,1,34,0,0,5,2,0,0,4,4,0,1,0,6,0,2,0,0,3,2,8,8
middle_outside,8,6,1,1,17,0,0,1,0,0,0,1,1,0,2,0,7,0,2,1,0,0,0,4,5
middle_right,12,11,2,2,38,0,0,14,2,0,0,7,1,0,1,0,10,0,0,2,1,1,3,4,13
