actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,0,0,4,0,2,3,4,23,11,0,0,2,3,1,1,2,8,6,4,2,0,0,1,1
above_inside,0,0,0,2,0,0,1,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0
above_left,0,0,0,13,0,4,4,8,14,9,0,0,4,1,1,0,1,5,1,1,1,1,0,1,1
above_outside,1,0,0,10,0,4,0,7,20,1,2,0,3,5,0,1,0,11,1,0,1,1,0,0,1
above_right,2,0,1,7,1,2,1,3,7,5,0,0,2,0,0,0,2,1,2,1,0,2,0,3,2
below_center,2,0,1,9,1,5,6,8,22,6,1,1,4,2,0,3,1,8,5,0,0,0,0,2,2
below_inside,0,0,0,9,1,2,10,9,16,25,6,0,3,1,1,0,4,4,3,9,2,2,0,0,8
below_left,4,0,0,12,0,1,0,6,14,2,2,2,5,2,1,0,0,7,1,0,0,1,0,3,1
below_outside,1,0,0,1,0,0,0,1,8,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2
below_right,1,0,1,10,0,5,7,8,14,21,7,1,6,0,0,2,3,14,5,0,0,3,1,0,5
high_center,0,0,0,8,2,5,5,10,23,8,2,0,4,5,2,1,1,11,4,2,2,4,0,3,8
high_inside,0,0,0,2,0,2,2,1,7,2,1,0,1,1,0,0,0,1,0,0,0,2,1,0,0
high_left,1,0,0,9,0,8,0,7,27,6,1,1,6,4,0,0,0,14,4,0,2,6,0,2,6
high_outside,0,0,0,9,0,4,1,8,19,3,1,0,7,4,0,0,1,10,2,0,0,2,0,4,2
high_right,0,0,0,6,0,3,0,3,15,8,1,1,1,1,0,2,1,7,3,5,0,1,0,0,5
low_center,2,0,0,12,1,5,2,7,26,12,3,1,12,3,0,0,1,11,2,6,4,4,3,2,6
low_inside,0,0,0,4,0,1,2,6,12,13,3,1,2,0,2,1,2,3,4,1,0,4,0,0,5
low_left,0,0,0,6,0,5,0,6,23,2,4,1,6,5,0,0,0,11,3,1,2,1,1,2,5
low_outside,0,0,0,5,0,3,0,2,10,4,0,0,1,2,0,0,0,2,1,1,0,2,0,1,1
low_right,1,0,0,14,1,1,7,7,20,13,7,0,2,2,2,1,1,9,3,4,4,5,0,2,11
middle_center,0,0,0,7,0,9,4,10,23,15,6,0,5,7,0,3,0,15,4,6,9,3,0,7,11
middle_inside,1,0,0,3,0,1,0,3,7,5,3,0,2,0,0,0,0,1,2,1,2,0,0,1,3
middle_left,2,0,0,7,0,6,1,11,36,10,1,1,7,7,1,1,0,15,5,3,1,2,1,3,7
middle_outside,1,0,0,8,0,4,1,16,24,4,1,0,0,5,0,0,0,10,2,0,1,0,0,1,3
middle_right,2,0,0,8,2,3,3,8,21,11,4,0,4,5,0,1,1,7,3,7,2,6,0,1,12
