actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,1,3,0,1,0,2,0,0,0,1,3,2,1,0,0,1,0,0,0,0,4,0,0,0
above_inside,2,3,1,0,1,0,5,1,0,0,0,4,2,1,0,0,1,0,1,0,0,3,0,0,0
above_left,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0
above_outside,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
above_right,2,1,2,0,1,0,3,0,0,0,1,1,2,0,0,0,2,0,1,0,0,11,0,0,0
below_center,8,14,5,0,4,0,46,0,3,0,1,44,7,6,0,2,16,0,5,1,1,56,2,0,0
below_inside,1,1,2,0,0,0,5,0,3,0,1,0,1,0,0,0,2,0,4,0,0,5,0,0,0
below_left,6,23,5,1,3,0,56,2,8,3,2,35,3,6,1,1,14,0,10,1,0,52,1,0,0
below_outside,7,8,9,0,5,1,45,1,10,3,1,39,4,7,0,2,11,0,16,2,1,51,0,1,0
below_right,2,6,2,0,1,0,21,0,4,0,1,16,4,3,1,2,11,0,6,1,0,22,0,0,0
high_center,2,8,7,0,0,0,18,0,0,1,2,14,2,1,0,1,6,0,2,0,1,11,0,0,0
high_inside,6,5,4,0,2,0,17,0,1,0,2,6,2,3,0,0,7,0,8,2,0,11,1,0,0
high_left,1,0,4,0,0,0,5,0,0,1,1,7,0,0,1,0,1,0,1,0,0,8,0,0,0
high_outside,0,0,3,0,1,0,1,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0
high_right,1,1,3,0,2,0,18,1,1,2,2,14,3,2,0,0,3,0,3,0,1,19,0,0,0
low_center,8,14,9,1,2,0,34,0,2,6,4,28,3,11,2,2,16,0,7,0,0,40,1,0,0
low_inside,3,3,1,0,1,0,16,0,2,0,0,10,5,3,0,0,3,0,4,1,0,21,0,0,0
low_left,3,10,5,0,2,0,17,0,0,1,4,27,4,7,2,1,11,1,6,0,0,46,1,0,0
low_outside,2,1,5,0,1,0,6,0,2,0,4,12,1,0,1,0,5,0,2,0,0,17,0,0,0
low_right,7,11,4,0,4,0,35,1,2,1,6,26,5,7,0,1,9,0,7,0,0,35,1,0,0
middle_center,4,8,7,0,5,0,20,0,0,2,1,19,7,2,0,1,12,0,5,1,0,30,0,0,0
middle_inside,3,8,3,0,3,0,26,1,2,2,1,15,3,1,1,3,5,0,3,3,0,17,0,0,0
middle_left,1,8,4,0,1,0,21,1,0,0,0,9,3,2,1,1,7,0,2,1,0,27,0,0,0
middle_outside,0,0,1,0,0,0,3,0,0,0,0,7,0,0,0,0,2,0,3,1,0,7,0,0,0
middle_right,4,13,7,0,4,0,24,0,3,1,3,23,1,5,1,2,10,0,4,0,0,27,0,0,0
