actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,15,20,14,5,3,0,0,1,7,0,1,3,0,3,3,0,0,0,0,0,0,1,0,0,0
above_inside,3,6,0,1,2,0,0,0,2,0,0,3,0,1,2,0,0,0,0,0,1,2,0,0,0
above_left,11,19,12,2,9,0,0,0,8,1,1,1,0,3,3,0,0,0,0,0,0,2,0,0,0
above_outside,5,9,11,3,3,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
above_right,11,10,7,4,7,0,0,0,3,0,1,2,0,1,2,0,0,0,0,0,0,1,1,0,1
below_center,13,41,36,11,12,0,0,3,28,0,2,8,0,7,13,0,1,0,1,0,0,3,1,2,3
below_inside,25,35,22,3,11,0,0,1,23,0,5,10,0,2,8,0,0,0,1,0,0,14,2,1,3
below_left,7,22,14,9,3,0,0,0,7,0,1,2,0,4,5,0,0,0,0,0,2,3,2,1,1
below_outside,5,10,5,6,2,0,0,1,1,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,1
below_right,21,32,19,9,7,0,1,1,17,0,1,8,0,6,3,0,1,0,1,0,1,5,4,1,4
high_center,21,15,25,5,10,0,0,2,12,0,7,10,0,1,8,1,0,0,0,0,0,12,0,2,3
high_inside,8,12,9,2,8,0,0,1,2,0,1,7,0,1,4,0,0,0,0,0,1,10,0,0,2
high_left,11,13,18,3,4,0,0,0,17,0,3,6,0,4,3,0,1,0,2,0,2,2,0,0,3
high_outside,9,9,11,5,5,0,0,1,5,0,0,2,0,1,2,0,1,0,0,0,1,2,3,1,1
high_right,15,28,12,3,7,0,0,2,10,0,2,11,0,0,7,0,0,0,0,0,0,8,0,1,3
low_center,26,32,22,6,14,0,1,1,16,1,3,3,0,4,10,0,0,0,1,0,1,7,3,0,5
low_inside,6,29,9,4,16,0,0,1,13,0,2,13,0,3,8,0,0,0,0,0,2,13,1,3,6
low_left,14,40,20,6,15,0,0,1,12,0,0,8,0,8,4,0,0,0,0,0,0,6,2,3,4
low_outside,14,19,14,6,5,0,0,1,8,0,1,3,0,3,5,0,0,0,1,0,0,0,0,1,3
low_right,5,32,11,4,6,0,0,1,10,0,2,15,0,6,6,0,0,0,0,0,5,5,0,3,6
middle_center,12,39,17,1,13,0,0,0,13,0,6,9,0,3,11,0,1,0,1,0,1,11,3,2,11
middle_inside,9,22,11,1,7,0,0,0,3,0,2,14,0,4,8,0,1,0,1,0,4,9,1,0,10
middle_left,11,17,15,1,8,0,1,2,9,0,1,2,0,6,7,0,0,0,0,0,0,5,5,2,4
middle_outside,9,24,10,2,7,0,0,1,5,0,0,5,0,7,2,0,0,0,0,0,0,3,1,1,0
middle_right,12,20,9,3,14,0,0,3,7,0,1,15,0,8,8,0,2,0,0,0,3,9,1,1,7
