actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,15,12,2,3,7,5,1,5,3,2,2,4,1,2,3,0,8,1,10,2,0,9,1,0,0
above_inside,1,4,0,0,0,3,0,1,4,1,0,1,0,0,1,0,1,0,3,1,0,1,0,0,0
above_left,11,4,1,6,3,5,0,5,5,1,6,1,0,1,3,2,5,0,3,1,2,3,0,0,0
above_outside,7,4,0,0,2,4,0,2,2,0,1,2,1,2,0,1,2,0,4,0,0,1,1,0,0
above_right,9,6,0,4,4,14,0,2,3,0,4,2,2,2,1,2,0,0,9,0,0,6,0,0,0
below_center,12,11,2,4,6,13,0,15,12,3,6,5,1,2,3,1,4,1,2,1,1,10,2,0,0
below_inside,11,13,2,4,4,16,0,10,15,2,7,5,2,2,2,2,10,2,7,2,0,7,0,0,1
below_left,7,12,0,0,1,9,0,3,5,1,4,1,0,1,2,2,5,0,5,4,0,4,0,0,0
below_outside,6,4,0,1,2,4,0,2,3,0,0,1,1,1,1,0,6,0,6,0,0,2,0,1,0
below_right,16,10,1,5,1,12,0,7,12,5,2,1,4,0,2,3,3,1,2,1,1,5,0,0,1
high_center,15,13,2,6,4,21,0,7,15,0,3,3,1,2,8,8,9,1,14,2,0,11,4,1,1
high_inside,9,8,0,3,4,9,0,2,7,0,1,3,1,0,5,1,4,0,3,1,1,3,1,1,0
high_left,8,13,3,7,0,13,1,8,7,0,8,2,1,2,5,3,3,0,12,0,1,1,0,1,0
high_outside,3,3,0,2,2,10,0,4,8,0,2,1,1,3,3,2,2,1,8,0,2,5,2,0,1
high_right,10,15,2,5,1,13,0,4,15,0,7,4,6,1,8,5,5,0,11,1,1,9,1,0,1
low_center,4,13,1,4,0,6,1,11,7,5,6,3,5,4,4,3,5,2,7,1,2,8,0,1,0
low_inside,5,12,2,5,1,6,1,4,5,3,2,6,1,0,4,5,8,3,13,2,1,7,0,0,2
low_left,9,9,1,4,3,14,2,3,7,2,6,1,3,2,2,2,13,2,18,3,2,5,0,0,0
low_outside,6,9,1,2,3,7,1,5,7,0,7,6,4,1,3,0,8,0,14,4,1,6,2,0,0
low_right,3,3,1,1,2,13,2,2,6,3,5,0,0,4,3,5,5,0,12,1,1,8,0,0,0
middle_center,7,13,0,5,3,14,1,9,8,1,9,5,8,0,3,4,5,2,18,1,2,14,3,0,2
middle_inside,13,11,0,1,4,5,1,6,6,2,4,4,2,0,4,2,1,0,5,2,0,4,1,0,0
middle_left,16,9,3,2,3,8,0,5,6,5,6,1,5,4,7,7,7,1,18,1,1,3,1,2,1
middle_outside,12,9,1,1,0,10,0,4,8,0,6,5,9,4,4,2,9,0,15,0,0,4,0,0,1
middle_right,7,20,1,2,3,11,0,12,9,1,4,0,2,3,4,3,7,0,14,7,1,5,2,0,1
