actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,7,2,6,7,3,0,0,9,10,4,1,3,7,4,6,2,1,0,1,3,2,2,4,0,4
above_inside,2,1,2,3,4,1,0,0,3,0,2,1,2,2,5,1,1,0,3,1,1,0,2,1,2
above_left,5,1,4,7,1,2,1,1,2,6,2,1,2,3,3,4,0,0,2,1,1,0,4,0,3
above_outside,1,0,0,3,3,0,0,0,0,4,1,2,2,0,2,1,0,0,0,0,0,0,2,0,1
above_right,3,2,5,1,6,0,1,1,2,4,2,2,3,2,2,1,0,1,4,0,0,2,3,0,4
below_center,6,6,6,5,5,3,4,2,12,7,7,8,13,5,10,5,2,0,4,1,2,3,15,2,4
below_inside,1,0,0,6,2,1,6,1,1,4,0,1,2,3,3,4,1,0,2,0,0,2,1,0,1
below_left,5,0,2,8,3,1,0,5,10,2,2,3,1,1,4,4,1,0,10,2,2,1,14,2,1
below_outside,1,0,2,4,3,0,2,7,21,3,1,1,3,1,3,1,0,0,12,2,2,2,15,3,1
below_right,4,1,10,8,8,6,4,2,7,14,3,4,8,2,5,8,0,0,6,3,3,4,3,3,2
high_center,2,1,6,12,4,1,4,6,9,6,1,9,6,7,12,2,1,1,9,3,1,4,10,5,4
high_inside,6,2,1,4,1,1,3,4,3,1,2,2,1,1,9,7,0,1,1,4,0,1,4,2,4
high_left,5,1,3,9,6,2,0,7,6,4,0,5,7,3,5,1,1,0,8,1,3,0,9,2,1
high_outside,2,1,1,2,2,0,2,2,2,3,3,1,3,3,2,2,0,0,4,0,0,0,2,1,2
high_right,3,2,0,4,0,3,1,3,5,4,4,3,7,2,10,3,0,1,5,2,1,2,3,1,7
low_center,3,1,2,7,6,2,5,1,9,3,2,5,7,2,8,6,0,2,8,2,4,4,17,5,4
low_inside,2,2,2,0,3,1,4,2,2,8,2,2,2,2,3,0,1,1,1,6,1,4,2,0,1
low_left,1,2,1,2,2,4,1,9,16,9,1,4,2,5,9,1,0,5,6,1,0,3,19,2,1
low_outside,1,3,1,5,3,0,0,6,15,2,0,3,5,2,4,4,3,1,13,0,1,1,9,1,0
low_right,5,5,6,7,4,0,4,3,4,6,3,7,6,3,11,2,2,0,3,0,1,3,4,0,4
middle_center,4,3,6,3,7,2,5,7,8,9,0,13,7,2,9,4,1,3,9,0,2,0,8,2,2
middle_inside,6,4,3,5,5,2,3,2,4,4,1,3,3,2,11,5,0,0,1,1,4,1,6,1,1
middle_left,6,3,3,7,3,2,5,12,14,3,1,4,6,6,8,4,1,3,4,2,1,2,14,2,3
middle_outside,3,0,5,4,5,2,1,7,12,3,1,2,3,2,2,1,1,0,8,0,0,0,16,3,4
middle_right,3,1,3,11,8,0,4,2,3,6,3,6,6,3,16,7,0,0,5,1,2,0,5,0,4
