actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,3,0,1,0,3,10,2,2,2,0,0,2,0,2,3,0,1,4,2,2,0,0,0,0,1
above_inside,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
above_left,0,0,1,0,1,3,5,1,1,1,1,2,3,1,1,0,2,4,2,0,2,2,0,1,3
above_outside,2,0,3,0,5,2,3,2,1,1,0,2,2,4,0,0,4,2,1,1,1,1,3,3,4
above_right,1,0,1,0,2,1,2,1,1,0,0,0,1,1,1,0,0,2,0,0,1,1,0,2,0
below_center,6,0,1,5,9,11,14,3,1,2,3,4,1,5,3,1,9,11,1,5,3,6,7,4,3
below_inside,6,3,1,3,10,18,44,1,1,10,1,6,1,1,3,2,5,9,0,15,6,5,1,1,20
below_left,3,1,0,3,7,9,5,1,4,1,2,2,2,0,1,0,4,6,0,1,1,1,1,2,2
below_outside,6,0,2,0,3,4,1,0,1,1,1,2,0,0,1,0,1,2,0,0,0,1,1,3,2
below_right,8,1,1,1,8,7,17,5,2,4,3,4,0,2,7,0,10,8,1,4,4,2,5,3,8
high_center,1,2,2,1,3,6,3,2,2,3,3,1,0,4,2,0,5,10,1,2,3,2,1,6,8
high_inside,4,0,3,0,3,4,1,0,0,0,1,0,0,4,1,0,0,2,1,1,0,1,0,4,1
high_left,3,2,3,0,6,6,5,1,3,0,0,1,0,0,0,1,4,5,2,2,2,2,2,0,5
high_outside,6,1,4,1,9,9,5,2,0,0,1,3,2,5,2,0,2,15,3,1,3,3,2,3,6
high_right,3,0,1,5,5,2,4,0,2,3,0,4,2,1,4,0,2,6,1,1,0,0,1,2,3
low_center,3,1,3,0,6,11,15,3,7,3,2,2,4,8,5,2,4,11,2,5,7,3,6,8,8
low_inside,4,1,0,0,2,4,15,2,2,2,1,4,1,5,3,1,4,14,0,6,4,9,0,3,9
low_left,7,2,1,3,4,8,15,2,4,0,3,4,0,6,4,1,7,19,2,3,3,3,7,10,5
low_outside,7,0,5,0,8,7,8,8,4,0,4,1,0,5,3,3,4,6,0,2,2,4,2,9,1
low_right,4,0,2,1,6,7,15,2,4,1,1,1,2,5,2,2,5,12,0,5,7,9,6,3,14
middle_center,9,2,3,1,2,16,9,4,1,3,1,3,1,5,8,1,9,16,1,8,10,6,2,7,10
middle_inside,5,1,0,0,6,4,3,2,1,0,1,4,1,8,1,1,2,5,1,3,2,3,2,5,4
middle_left,3,0,1,1,3,10,6,6,1,2,2,6,1,12,1,4,7,20,1,1,7,2,7,6,12
middle_outside,6,2,2,4,6,7,9,4,6,1,0,6,2,9,7,1,6,11,6,8,4,3,7,9,7
middle_right,6,1,3,1,5,7,5,3,3,3,0,5,1,5,3,0,7,11,2,2,3,5,2,4,8
