actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,2,0,0,0,0,2,2,0,0,0,3,2,0,1,3,1,1,0,1,1,0,0,0
above_inside,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
above_left,1,0,0,0,0,0,1,0,3,0,1,1,3,0,2,1,2,0,2,2,3,0,1,1,1
above_outside,0,0,0,1,1,1,0,4,2,0,0,2,2,4,0,2,4,1,2,3,0,0,1,2,1
above_right,0,0,0,0,0,2,2,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,3,0,1
below_center,5,0,2,1,3,8,6,15,18,3,4,1,14,19,4,4,11,6,9,4,4,2,7,12,3
below_inside,5,2,0,0,3,2,24,16,17,7,6,10,6,3,5,2,21,1,10,17,8,11,6,11,5
below_left,2,0,0,0,2,1,1,14,17,1,1,3,5,11,3,3,6,2,7,0,4,0,3,8,1
below_outside,2,0,1,0,0,1,1,6,5,0,0,3,2,6,1,1,3,0,2,1,1,3,1,2,0
below_right,3,1,2,0,5,8,17,15,12,5,4,5,10,12,8,3,14,4,13,15,4,5,5,3,10
high_center,1,0,0,0,1,2,3,2,0,0,2,4,3,1,5,1,3,1,3,0,2,0,1,2,2
high_inside,1,0,0,0,1,1,1,1,3,0,0,3,1,1,3,0,2,0,0,0,0,1,0,0,0
high_left,5,0,3,0,1,2,2,2,8,1,1,2,7,6,1,0,3,1,3,3,2,0,4,4,3
high_outside,1,0,0,0,0,0,3,3,5,0,2,3,2,7,3,1,5,4,5,4,1,2,3,8,1
high_right,0,0,0,0,1,2,0,3,3,0,1,3,1,2,2,1,3,1,2,2,2,1,3,1,2
low_center,6,1,0,0,4,4,4,17,13,1,7,2,13,10,6,3,8,6,11,7,7,3,4,7,7
low_inside,5,1,1,0,1,5,10,9,6,3,4,2,6,7,3,1,7,2,9,3,4,1,1,5,2
low_left,2,0,2,1,0,2,4,8,9,2,4,1,11,10,3,4,14,2,6,4,4,1,10,9,3
low_outside,2,0,1,0,1,1,1,7,16,1,0,3,10,8,1,2,2,3,8,4,1,0,1,3,0
low_right,4,2,3,2,1,2,7,9,5,3,3,5,2,7,3,6,8,1,9,12,3,5,3,3,7
middle_center,8,2,2,0,0,6,3,9,4,1,2,5,12,4,4,3,9,4,4,14,3,4,5,9,10
middle_inside,1,1,0,0,1,0,1,6,5,0,0,0,5,6,3,2,3,2,3,5,4,3,2,2,2
middle_left,1,2,1,0,1,4,3,9,6,1,1,5,12,8,3,1,8,8,6,4,4,3,3,6,7
middle_outside,1,0,3,0,1,2,2,8,14,1,3,5,2,6,2,0,6,1,11,7,0,1,2,6,2
middle_right,6,0,1,0,2,2,3,3,2,0,3,7,4,6,7,1,2,2,5,6,5,1,7,7,6
