actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,13,7,12,4,0,1,6,2,1,6,3,0,3,3,1,2,4,5,1,0,10,1,5,1
above_inside,2,6,1,1,2,0,3,0,1,1,0,2,0,2,1,0,3,1,0,0,0,4,2,3,3
above_left,2,10,4,11,1,1,4,3,2,0,5,2,4,2,2,0,1,3,5,1,3,2,0,3,5
above_outside,6,1,4,6,3,3,0,4,1,0,3,0,3,4,4,0,2,2,4,1,0,3,0,9,1
above_right,5,12,2,4,6,2,0,6,3,0,0,2,0,3,3,0,1,0,0,0,0,4,0,4,4
below_center,6,5,2,9,2,4,3,9,8,0,2,1,2,8,3,0,2,2,5,2,1,4,3,6,1
below_inside,5,17,4,2,5,4,5,11,4,0,6,9,1,3,1,1,4,2,3,3,1,8,1,8,10
below_left,1,8,2,6,5,3,1,4,5,1,1,2,0,2,1,0,0,4,0,1,1,2,1,2,3
below_outside,1,4,1,9,1,3,0,5,2,0,2,0,2,0,0,1,1,0,3,1,0,2,1,1,1
below_right,4,9,5,7,7,0,6,10,3,2,1,3,2,2,2,2,1,7,3,2,1,1,1,3,6
high_center,6,17,3,6,5,2,5,12,3,2,5,5,9,4,5,3,5,7,4,1,6,16,4,10,12
high_inside,2,6,2,3,3,0,3,2,0,0,0,1,1,4,2,0,3,0,3,1,0,6,1,3,7
high_left,5,8,6,7,6,2,0,9,3,2,3,2,3,5,10,2,3,4,2,0,4,9,5,11,9
high_outside,4,8,4,13,3,1,3,8,7,1,4,5,6,8,3,1,3,3,3,0,1,4,1,12,5
high_right,5,11,2,5,4,1,2,6,3,0,2,5,6,7,6,3,7,1,4,2,0,11,4,9,9
low_center,2,8,1,7,5,2,0,6,1,2,7,6,2,4,3,1,4,4,2,1,1,10,2,8,10
low_inside,1,12,4,4,1,2,6,0,1,0,0,3,1,2,6,0,5,2,0,3,1,12,1,3,9
low_left,1,9,4,3,1,0,1,9,0,1,3,5,1,8,1,0,3,4,6,1,1,9,3,4,3
low_outside,2,4,4,4,4,1,1,9,2,0,3,3,0,3,1,0,5,5,7,2,0,7,2,1,5
low_right,3,6,0,1,1,1,5,2,2,1,4,3,6,4,4,0,4,1,4,0,1,16,3,5,3
middle_center,6,9,4,6,3,1,4,3,3,1,4,5,6,7,3,3,5,2,6,2,6,16,3,9,11
middle_inside,3,8,1,1,1,0,1,3,0,0,2,1,1,2,2,0,2,1,2,1,2,11,1,7,4
middle_left,6,11,5,5,2,1,3,2,4,2,5,6,5,9,7,0,6,6,8,3,3,19,5,11,10
middle_outside,5,9,8,4,2,0,4,4,4,0,2,2,5,2,3,2,4,5,4,0,1,11,1,9,10
middle_right,0,9,1,8,4,2,1,7,2,1,3,3,3,3,5,2,9,6,7,0,3,13,3,10,8
