actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,4,6,12,1,10,10,7,9,0,1,0,6,3,7,5,10,1,5,11,3,7,1,4,2
above_inside,3,0,0,3,0,2,4,3,3,0,0,3,0,1,2,2,1,5,1,2,0,4,0,2,0
above_left,1,2,2,14,1,2,5,8,6,0,0,1,0,1,5,3,1,7,5,1,2,6,4,4,3
above_outside,0,0,1,10,0,4,4,6,4,0,0,0,2,0,2,4,1,3,4,2,1,1,0,2,0
above_right,0,5,5,13,2,6,9,4,6,0,1,0,3,3,6,5,1,2,3,9,0,10,1,3,1
below_center,1,2,3,35,4,7,3,23,4,0,1,5,5,0,4,10,4,12,9,4,3,3,2,10,3
below_inside,2,15,3,16,6,4,53,11,6,0,2,14,2,2,8,3,14,7,7,28,5,12,4,6,5
below_left,1,0,4,16,0,8,1,14,0,0,1,2,0,1,1,3,0,2,4,4,2,2,2,5,0
below_outside,0,0,1,3,2,2,1,3,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0
below_right,1,0,4,20,4,6,17,19,4,0,0,5,5,2,12,14,4,14,10,19,5,6,2,10,2
high_center,2,3,1,21,2,7,10,14,2,1,1,5,1,0,2,6,6,7,6,10,2,5,3,7,3
high_inside,0,6,1,2,3,4,6,8,4,0,1,1,1,0,4,1,6,4,1,1,1,8,2,2,2
high_left,1,1,3,13,1,4,4,7,1,0,0,2,1,3,1,5,1,2,2,5,4,5,2,7,2
high_outside,0,0,1,8,0,3,2,8,3,0,1,2,1,0,1,2,1,2,3,0,0,1,2,2,0
high_right,1,6,1,12,4,2,7,9,4,0,0,10,2,1,4,5,5,8,6,10,2,7,2,4,1
low_center,2,3,2,20,2,4,7,9,5,2,1,3,3,1,4,12,5,8,5,10,2,7,5,4,1
low_inside,0,11,2,5,5,3,21,7,4,1,1,5,2,0,5,5,5,2,5,11,1,9,2,3,0
low_left,0,1,2,14,2,4,1,4,3,0,0,2,0,3,0,5,1,2,4,6,1,2,1,7,1
low_outside,0,0,0,9,0,4,1,3,0,0,0,0,2,1,0,0,0,3,3,3,1,0,1,0,1
low_right,2,3,3,19,1,5,11,13,2,2,2,6,3,0,5,7,6,5,9,21,2,12,4,7,2
middle_center,4,5,1,18,4,2,9,15,1,4,1,5,3,1,8,12,4,7,7,7,2,7,3,10,8
middle_inside,2,5,1,7,1,0,12,9,2,0,2,8,1,1,8,1,3,4,4,8,1,6,0,7,1
middle_left,2,4,1,24,0,5,10,10,3,1,2,2,0,1,4,5,3,3,4,7,3,4,2,6,0
middle_outside,0,0,1,9,0,1,3,6,1,0,0,1,0,0,0,1,0,2,0,2,1,0,2,0,0
middle_right,1,5,0,11,6,3,12,2,3,1,0,9,7,2,10,6,6,4,7,20,3,5,2,4,3
