actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,5,1,7,1,4,3,10,2,6,1,3,7,2,1,2,1,7,2,0,6,2,1,2,1,3
above_inside,8,5,7,1,2,4,12,2,3,3,2,7,5,4,2,0,12,4,2,4,0,7,1,0,2
above_left,3,2,1,0,3,0,2,0,3,0,0,6,2,4,1,0,3,4,0,1,2,4,1,0,2
above_outside,0,0,1,0,1,0,1,2,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
above_right,5,0,0,0,2,6,5,0,3,0,4,4,2,1,2,3,6,7,1,4,2,1,2,1,2
below_center,7,5,5,0,7,1,4,2,9,2,2,7,4,4,3,2,7,5,4,5,2,7,1,2,2
below_inside,4,3,4,0,1,2,5,0,2,1,2,1,1,4,0,3,6,0,1,3,0,1,1,1,1
below_left,6,3,2,1,1,0,5,3,9,2,6,7,3,1,1,3,5,6,5,3,0,1,2,1,1
below_outside,10,2,3,1,2,3,3,7,11,5,8,3,6,1,1,0,3,5,6,7,5,0,0,0,1
below_right,5,7,4,0,3,1,13,0,2,2,1,5,1,2,4,1,7,1,3,6,1,6,0,2,3
high_center,10,1,8,2,5,6,4,1,4,2,4,9,3,6,5,1,3,6,1,6,6,4,2,2,3
high_inside,4,3,5,0,4,1,3,2,3,2,1,5,1,4,5,2,6,5,1,3,1,4,1,1,0
high_left,6,2,3,0,6,6,1,0,0,3,4,4,0,0,4,0,4,6,2,14,4,1,3,5,3
high_outside,3,2,3,1,1,4,4,1,3,1,1,3,1,4,5,1,2,2,1,3,1,1,0,4,0
high_right,4,2,8,0,2,3,6,0,6,1,5,8,5,5,3,3,5,5,1,7,3,3,1,0,1
low_center,8,2,8,0,6,1,6,3,5,3,7,6,8,7,6,2,5,11,6,7,3,5,2,4,3
low_inside,9,3,0,0,0,3,7,0,9,2,1,5,2,2,2,0,7,1,0,2,2,2,0,0,1
low_left,6,4,5,0,3,5,3,2,4,2,3,5,7,6,2,5,2,1,2,8,6,2,5,1,2
low_outside,2,3,5,1,1,1,9,1,5,3,2,2,4,5,4,3,2,4,8,10,4,1,0,1,0
low_right,6,4,3,0,3,1,9,1,3,1,6,3,3,6,2,1,6,5,2,7,1,5,1,1,4
middle_center,16,4,8,0,6,5,7,0,3,1,6,9,10,11,4,1,11,9,3,10,4,3,2,5,3
middle_inside,11,2,2,1,6,4,7,2,5,1,3,6,1,3,2,1,7,2,3,8,4,3,2,2,4
middle_left,8,2,4,2,2,3,5,2,6,1,4,5,5,5,7,0,10,8,4,11,2,2,4,1,6
middle_outside,4,1,5,1,1,3,7,1,8,1,4,1,7,4,6,1,3,2,3,6,0,1,3,2,1
middle_right,9,6,5,1,2,3,6,2,6,4,5,12,3,6,4,3,9,2,4,6,4,1,0,1,8
