actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,7,8,0,1,2,4,1,3,1,0,3,2,3,2,1,6,2,2,6,1,0,0,0,0
above_inside,0,3,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,1,0
above_left,3,9,5,1,1,4,3,0,1,0,3,1,2,0,0,2,6,1,2,10,0,2,1,1,0
above_outside,0,3,3,0,0,1,0,1,2,0,0,3,1,0,1,0,3,1,0,6,2,1,0,0,0
above_right,3,4,1,0,4,1,1,1,1,0,1,2,0,2,0,0,4,0,0,3,0,1,0,0,0
below_center,6,27,13,18,4,25,17,6,9,7,7,6,4,3,7,4,8,9,10,23,3,1,9,3,0
below_inside,6,4,7,6,1,14,21,1,1,5,3,1,0,1,0,4,16,1,3,20,2,2,2,0,1
below_left,2,33,8,9,8,14,4,2,3,8,0,5,1,5,1,4,2,7,6,17,0,0,2,8,1
below_outside,5,6,4,5,1,9,2,2,5,2,0,1,2,3,0,2,3,4,3,6,2,2,1,7,1
below_right,6,14,15,11,6,23,15,2,7,3,5,5,1,4,2,5,10,5,4,29,0,1,5,5,0
high_center,5,17,4,3,2,5,5,1,0,2,3,5,1,0,0,1,14,3,3,10,0,0,0,0,0
high_inside,2,4,1,1,1,1,0,0,2,1,0,1,0,0,2,1,2,2,4,5,0,0,3,0,1
high_left,1,7,4,3,4,5,7,0,0,2,3,6,1,0,4,1,8,3,1,8,1,2,2,1,2
high_outside,0,8,8,3,1,2,1,0,2,1,2,7,3,1,2,2,4,0,1,9,1,3,1,1,0
high_right,2,8,4,3,3,3,4,0,2,1,5,3,4,2,2,0,9,3,1,14,0,1,6,1,2
low_center,9,17,11,8,2,10,10,0,6,1,5,9,3,4,4,3,16,5,7,19,5,4,1,1,1
low_inside,5,3,3,1,0,2,9,2,0,1,0,2,1,0,2,0,7,0,0,8,1,3,1,2,0
low_left,8,18,13,1,2,9,9,1,10,8,3,13,7,6,2,6,5,4,4,10,0,0,4,6,0
low_outside,6,14,5,3,1,5,8,2,9,2,2,4,2,1,0,1,3,5,2,9,1,2,0,5,1
low_right,4,5,8,4,0,5,7,2,1,2,2,2,0,1,0,5,12,3,0,22,1,0,3,2,0
middle_center,6,13,7,6,1,4,12,0,1,3,3,7,3,2,4,4,9,0,4,25,3,6,3,7,1
middle_inside,2,6,4,3,2,6,7,0,1,2,1,5,2,1,0,1,7,1,1,8,2,1,1,0,0
middle_left,7,18,10,7,0,4,7,1,1,1,5,13,5,5,3,0,6,4,6,16,1,4,6,3,0
middle_outside,5,13,10,4,1,11,7,1,2,1,0,6,0,3,2,0,7,1,2,12,3,1,3,5,0
middle_right,2,6,5,1,0,4,10,0,1,2,1,9,4,3,5,2,14,0,2,26,1,2,1,0,1
