actual/predicted,above_center,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,3,7,1,2,0,0,0,1,0,1,0,4,1,5,0,1,1,1,2,0,0,0
above_left,0,0,1,2,0,2,1,2,1,0,2,0,0,2,1,4,0,0,1,4,2,1,0,3
above_outside,0,0,2,3,1,4,0,1,1,0,2,1,0,2,1,2,0,3,0,0,2,1,1,3
above_right,0,1,1,0,0,2,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
below_center,10,12,6,28,17,16,19,15,5,8,8,10,0,17,12,13,2,10,6,8,9,11,12,18
below_inside,3,4,3,16,5,26,4,2,3,3,3,7,0,5,7,12,1,2,8,3,4,5,4,9
below_left,2,5,4,13,5,14,14,6,8,2,5,4,2,5,3,10,5,3,3,1,5,6,12,10
below_outside,1,3,2,7,4,7,7,7,1,1,3,4,1,3,1,0,3,3,2,0,3,3,7,4
below_right,4,6,6,12,7,28,9,4,5,7,5,8,2,11,5,9,4,5,8,8,5,4,5,15
high_center,4,1,2,7,0,5,4,1,2,0,3,2,2,5,2,6,2,1,0,3,1,3,7,3
high_inside,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
high_left,4,5,1,10,2,6,4,1,0,3,3,4,2,10,1,7,1,2,1,3,5,1,0,3
high_outside,4,2,1,4,3,3,0,3,0,3,0,2,1,3,3,4,1,3,3,1,2,3,7,6
high_right,3,0,2,6,1,5,2,3,0,1,1,0,0,2,5,1,0,0,1,0,1,2,0,3
low_center,8,1,5,13,5,14,11,7,2,7,5,5,0,7,13,11,6,13,8,6,14,10,9,13
low_inside,0,1,1,1,0,7,2,1,2,0,3,1,0,2,2,7,0,1,4,3,3,1,1,4
low_left,12,2,6,13,3,13,8,9,10,3,7,4,1,12,3,12,6,11,6,8,6,10,17,10
low_outside,8,6,1,8,3,4,5,4,2,2,4,3,0,4,3,5,3,4,2,5,5,5,7,5
low_right,3,0,4,6,11,14,1,2,3,4,3,6,2,4,3,7,3,6,4,1,6,7,6,6
middle_center,5,5,5,11,5,12,6,2,8,1,6,7,3,8,6,14,3,8,5,5,9,4,12,10
middle_inside,1,2,0,1,0,5,0,1,2,0,1,1,0,1,1,3,0,0,2,4,4,0,0,0
middle_left,7,7,4,14,11,9,5,11,5,2,2,15,4,13,8,12,5,4,7,4,8,7,21,8
middle_outside,6,4,3,10,0,6,8,4,4,0,3,5,4,6,7,3,4,2,4,3,2,5,15,3
middle_right,9,1,3,5,4,7,1,0,2,1,3,6,1,6,3,12,0,0,5,1,2,3,4,6
