actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,0,0,3,2,0,12,1,0,1,3,3,0,0,17,0,0,2,0,2,4,0,0,0,5
above_inside,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1
above_left,1,0,2,0,1,0,9,1,0,0,4,1,0,0,20,2,0,1,2,4,3,0,0,2,3
above_outside,2,0,3,0,1,1,11,1,0,2,0,1,1,1,7,0,2,1,0,3,4,0,0,0,3
above_right,0,0,0,0,1,0,2,1,0,0,0,2,1,0,4,1,0,0,0,3,1,0,1,0,1
below_center,0,0,0,1,0,1,71,2,5,3,0,2,0,1,12,0,2,4,9,7,20,1,4,1,8
below_inside,0,2,0,1,1,1,100,3,1,11,3,2,1,2,20,0,5,2,4,16,12,1,2,1,4
below_left,0,1,0,1,1,1,39,3,0,0,2,2,1,0,5,0,1,0,5,9,8,0,1,0,3
below_outside,0,0,0,0,1,1,24,1,1,0,0,0,0,0,1,0,1,2,1,1,4,0,0,0,0
below_right,1,1,0,1,1,1,72,1,1,11,3,2,1,0,16,5,1,8,6,12,14,1,0,4,4
high_center,1,0,1,0,2,1,32,0,0,4,4,5,0,0,27,1,1,5,2,10,15,0,1,3,6
high_inside,0,0,0,0,0,0,10,0,0,1,3,0,0,0,1,0,0,0,1,0,1,1,2,0,3
high_left,1,0,1,1,2,1,21,0,0,2,1,3,1,1,21,1,1,4,4,8,12,2,2,1,3
high_outside,1,0,1,1,0,1,13,0,0,3,0,1,0,0,6,1,0,2,3,2,8,0,1,1,1
high_right,1,0,0,1,1,1,7,0,0,2,1,1,2,1,14,1,0,0,3,4,4,0,0,2,1
low_center,3,0,2,1,2,1,31,2,0,7,1,3,0,1,18,3,1,9,6,15,17,1,5,4,5
low_inside,0,1,1,0,0,0,30,0,0,2,1,1,0,0,18,0,0,1,5,8,2,0,1,1,0
low_left,1,0,1,3,0,0,29,4,1,3,0,0,1,2,11,2,2,2,2,4,8,0,0,1,2
low_outside,0,0,0,0,0,1,14,0,0,4,0,2,2,0,2,1,0,1,0,2,7,0,1,0,0
low_right,2,0,1,1,0,0,31,1,2,4,1,5,1,1,15,1,4,5,3,10,13,1,1,6,3
middle_center,3,0,3,1,3,1,38,1,0,5,4,6,1,0,33,3,0,5,6,19,24,1,0,0,5
middle_inside,0,1,0,0,0,0,21,0,0,2,0,1,1,0,6,0,0,2,1,5,4,1,0,1,1
middle_left,1,0,0,0,1,1,22,3,1,5,2,7,1,0,24,0,0,2,5,8,10,2,0,3,4
middle_outside,2,0,1,1,0,0,22,2,3,3,1,1,0,0,2,0,0,4,2,6,2,0,0,1,2
middle_right,2,0,4,1,1,1,24,0,0,3,2,2,2,1,28,0,4,4,4,7,13,3,2,3,9
