actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,1,0,2,3,3,3,8,3,2,3,1,4,6,0,3,2,6,4,3,3,0,6,8,5
above_inside,0,0,1,0,0,0,2,0,3,0,0,0,1,3,1,1,0,0,1,1,0,0,0,0,1
above_left,0,0,0,2,1,2,1,2,2,1,0,1,0,1,0,2,2,4,3,3,2,1,2,4,4
above_outside,1,0,0,0,0,0,1,5,0,0,1,0,1,6,0,0,0,2,1,1,0,2,1,1,2
above_right,0,0,1,1,0,3,3,8,1,1,2,1,1,4,0,1,3,7,0,2,1,2,2,5,2
below_center,1,0,1,3,0,10,12,14,4,8,1,0,0,1,0,4,3,12,4,6,0,0,2,4,4
below_inside,1,0,4,4,0,13,79,20,11,12,4,2,4,3,4,3,7,14,8,13,2,11,5,6,10
below_left,0,0,1,0,1,1,0,7,3,2,0,0,0,3,0,1,0,2,4,0,0,1,0,2,0
below_outside,0,0,0,0,0,0,2,1,2,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0
below_right,0,0,1,5,1,18,20,15,4,21,5,1,5,6,2,3,1,13,7,2,1,3,4,4,9
high_center,0,1,3,6,1,0,4,8,5,4,3,1,2,5,1,5,2,9,1,6,4,2,3,5,8
high_inside,0,0,1,1,0,1,4,3,2,0,0,1,0,5,1,1,2,3,1,0,1,1,1,2,3
high_left,0,1,1,2,0,2,3,4,3,2,3,0,4,3,1,2,2,7,4,3,4,1,3,3,4
high_outside,0,2,1,0,0,1,1,6,2,2,4,0,1,2,0,1,0,3,3,2,1,2,2,2,4
high_right,0,0,2,4,2,7,9,4,7,3,6,3,3,5,1,3,8,7,3,7,1,7,6,2,7
low_center,1,0,2,4,2,9,7,9,4,8,5,1,5,17,0,2,4,11,7,4,3,4,2,1,5
low_inside,0,1,1,4,0,4,12,4,6,5,5,3,3,5,3,0,3,7,3,12,1,5,2,5,9
low_left,0,1,1,4,1,5,2,12,3,3,3,0,1,1,0,1,1,8,7,3,0,1,1,5,0
low_outside,0,0,0,2,0,2,3,7,1,0,1,0,0,2,0,0,0,4,3,0,0,0,0,3,0
low_right,1,0,1,0,2,13,13,7,3,6,7,2,2,9,2,4,6,6,8,9,5,5,3,5,9
middle_center,0,0,1,6,1,3,8,13,7,1,4,1,1,10,3,6,2,13,7,8,5,4,2,6,3
middle_inside,0,0,3,1,0,2,7,6,2,1,2,3,2,2,0,2,0,8,4,7,0,5,1,4,8
middle_left,0,1,1,2,0,7,0,16,8,3,2,1,1,3,0,4,1,4,6,3,1,3,2,6,2
middle_outside,0,0,1,1,1,2,2,6,2,4,2,0,1,3,1,0,0,4,1,1,2,0,0,2,3
middle_right,1,0,2,6,3,4,10,10,5,1,2,1,8,5,2,2,2,7,9,14,3,7,7,3,12
