actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,4,1,0,1,0,4,3,1,3,0,1,8,4,2,2,5,1,7,0,1,1,1,8,5
above_inside,1,1,0,0,1,0,3,0,0,1,0,0,0,1,0,1,4,0,2,0,0,0,0,1,0
above_left,0,3,2,1,8,1,1,1,0,1,0,4,4,1,3,5,2,2,10,0,3,1,0,9,2
above_outside,1,2,4,1,2,3,2,1,2,2,3,2,3,5,1,2,4,2,11,0,4,1,3,5,2
above_right,0,2,0,1,0,1,3,0,0,4,0,5,0,1,0,2,0,0,3,0,0,1,1,1,1
below_center,0,2,0,2,2,4,3,3,2,0,6,3,4,10,2,3,12,1,19,2,2,2,3,6,4
below_inside,3,5,0,1,9,5,19,5,1,2,4,7,10,7,3,15,30,3,24,3,4,12,3,15,12
below_left,0,0,1,2,2,0,0,1,0,1,0,0,1,2,0,1,0,1,2,2,1,0,2,6,2
below_outside,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1,2,0,0,1,1
below_right,0,2,1,2,4,6,9,2,0,7,2,4,4,4,3,6,14,0,21,2,2,1,8,5,6
high_center,1,3,4,1,4,3,6,1,4,3,5,3,1,4,7,3,10,4,19,3,6,2,10,9,2
high_inside,0,4,1,0,1,0,4,1,1,0,1,0,0,0,1,0,6,1,4,0,0,3,2,3,0
high_left,2,2,0,4,1,4,2,9,0,1,1,7,6,5,2,4,5,1,24,4,4,2,3,8,3
high_outside,3,1,2,0,0,0,3,5,3,1,4,4,6,3,1,1,3,4,17,1,7,1,4,6,1
high_right,1,4,0,2,3,2,4,2,1,1,0,2,5,5,3,1,12,3,14,1,4,3,3,3,2
low_center,3,2,4,1,5,0,5,2,3,1,2,1,7,5,5,10,10,3,18,4,3,5,3,8,6
low_inside,2,2,0,2,2,3,8,2,0,1,2,1,4,1,5,4,24,3,19,1,2,7,6,4,6
low_left,1,4,3,3,2,1,3,2,2,6,1,1,5,6,2,8,2,1,9,3,2,2,5,4,3
low_outside,0,4,1,0,0,3,4,2,1,0,4,3,0,0,1,1,1,0,8,3,3,1,4,2,0
low_right,1,5,1,2,3,1,14,5,1,4,4,5,3,8,3,10,24,5,19,3,6,4,8,8,3
middle_center,1,3,5,2,9,1,11,8,1,6,5,6,8,12,5,3,19,7,32,5,6,5,10,10,2
middle_inside,1,2,0,1,2,0,8,2,0,0,2,3,6,3,2,3,17,3,11,1,1,2,4,5,6
middle_left,1,3,1,2,4,6,4,4,3,3,4,5,7,5,3,1,8,4,18,2,1,4,8,9,4
middle_outside,2,0,0,0,3,2,1,5,1,1,2,1,1,5,3,6,0,5,14,0,2,1,1,6,1
middle_right,2,4,4,1,4,2,9,3,3,1,3,6,8,4,4,10,24,5,19,7,4,5,3,7,9
