actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,2,0,1,1,2,0,0,1,0,4,0,1,1,0,3,0,3,2,2,0,1,1,0
above_inside,1,0,0,0,3,0,2,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
above_left,4,0,1,3,5,3,1,1,1,0,0,1,0,1,2,0,0,0,3,2,0,1,0,1,0
above_outside,1,1,0,2,1,1,4,2,1,0,0,1,1,1,0,0,0,0,2,2,0,0,1,1,0
above_right,1,0,0,0,4,0,1,0,0,1,1,2,0,1,0,0,0,0,5,2,0,0,1,0,0
below_center,2,0,4,4,15,3,20,7,3,4,0,4,1,10,5,7,9,0,8,20,1,0,3,3,3
below_inside,1,0,0,3,9,0,38,1,5,5,2,3,1,2,4,2,8,2,3,20,1,3,3,0,1
below_left,6,0,6,5,9,3,11,5,3,4,1,9,2,10,4,4,6,3,9,7,2,1,5,2,1
below_outside,2,0,1,1,4,2,5,2,2,0,0,3,1,3,1,1,4,0,4,6,1,1,1,0,0
below_right,7,0,3,3,6,7,21,5,5,4,2,5,0,2,3,2,4,3,6,13,1,2,1,2,4
high_center,1,1,3,2,8,2,7,3,0,3,0,1,0,5,5,1,2,3,7,11,1,1,1,0,3
high_inside,0,0,2,2,2,0,4,3,2,2,0,0,1,4,1,0,4,0,5,1,0,0,2,0,1
high_left,3,0,0,2,3,1,5,2,0,2,1,3,1,6,1,0,4,3,6,11,3,1,0,0,0
high_outside,2,0,1,3,4,1,8,3,1,0,1,2,1,9,1,0,3,3,5,6,0,1,2,1,1
high_right,2,0,0,0,4,2,10,2,3,1,0,0,0,3,5,2,3,2,2,6,2,1,1,1,1
low_center,3,0,4,4,8,3,22,5,5,4,0,12,1,11,5,4,10,5,7,22,2,2,2,0,2
low_inside,3,1,2,0,2,1,19,1,2,4,0,1,1,3,2,0,9,1,4,28,3,0,1,0,3
low_left,2,2,2,7,8,2,12,3,5,0,0,14,3,18,4,7,3,4,11,13,5,0,1,1,1
low_outside,4,1,3,2,9,0,12,4,3,1,0,3,4,15,3,5,6,5,5,4,2,0,3,1,2
low_right,2,0,1,1,2,1,15,1,4,4,2,8,4,6,2,3,5,2,2,31,2,4,1,1,3
middle_center,5,0,5,5,4,3,17,5,5,2,2,9,2,7,1,3,9,4,4,20,3,2,0,2,1
middle_inside,1,0,2,3,3,1,8,1,1,1,2,1,0,1,2,3,6,2,6,11,0,3,2,0,1
middle_left,3,1,3,2,3,1,3,2,1,2,0,11,4,13,1,1,4,3,8,14,3,0,1,2,0
middle_outside,2,0,1,3,12,0,11,6,5,1,3,8,6,24,6,0,3,2,2,11,0,0,1,1,2
middle_right,3,0,3,1,2,2,12,4,0,0,1,4,2,7,4,3,6,2,3,24,1,2,2,0,4
