actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,4,0,3,1,1,4,1,3,2,3,2,10,1,0,1,2,0,3,4,1,4,2,1,1
above_inside,2,11,0,1,1,5,23,0,3,0,0,2,13,0,1,4,4,5,0,5,3,0,6,0,5
above_left,1,2,0,2,0,1,3,0,0,0,2,3,2,0,1,0,2,0,2,1,0,2,0,2,2
above_outside,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
above_right,5,10,0,4,0,5,17,1,0,2,3,3,14,2,3,3,8,6,1,5,1,2,3,2,10
below_center,3,12,0,4,0,5,24,6,3,3,5,7,18,5,6,9,8,11,6,6,2,13,3,1,6
below_inside,0,1,0,1,0,1,12,0,0,0,0,1,4,1,0,0,0,0,0,0,2,2,0,0,1
below_left,0,12,0,5,1,5,30,9,11,7,8,7,9,2,8,7,13,6,10,8,5,5,4,4,8
below_outside,5,12,0,3,0,6,12,7,13,2,3,4,11,6,6,9,5,6,9,11,1,2,2,7,4
below_right,1,3,0,1,0,2,6,2,1,2,3,3,9,3,2,1,9,2,1,6,1,1,2,1,7
high_center,2,12,1,4,1,4,14,3,3,1,6,6,12,4,4,4,6,4,9,9,3,8,3,3,5
high_inside,2,5,0,2,0,1,19,0,1,3,4,2,8,1,0,1,9,5,2,7,4,5,6,1,6
high_left,3,3,0,4,0,1,8,0,1,1,3,2,12,2,1,5,1,2,2,0,1,2,3,1,3
high_outside,0,1,0,0,0,0,4,1,2,0,2,1,3,0,0,2,1,0,0,1,0,0,1,1,2
high_right,1,9,1,1,0,0,22,3,1,2,4,7,26,2,2,5,8,6,2,7,3,3,4,3,6
low_center,0,7,0,4,1,4,20,2,7,3,5,8,25,4,5,12,5,6,8,7,6,7,5,6,11
low_inside,2,2,0,3,0,4,11,0,1,0,1,4,5,0,2,2,6,2,1,5,3,5,0,3,2
low_left,2,6,0,3,0,3,9,3,1,1,5,5,29,4,1,9,5,3,7,6,6,5,4,2,9
low_outside,2,1,0,0,0,3,3,3,3,0,3,4,9,2,1,5,2,2,7,4,3,5,2,4,3
low_right,0,9,0,4,0,5,20,1,6,1,3,3,15,1,3,5,2,3,6,7,1,5,2,1,8
middle_center,1,10,1,5,1,4,25,1,2,3,10,10,33,1,9,12,8,5,5,8,7,9,6,2,8
middle_inside,2,6,0,2,0,2,17,3,1,3,6,2,16,1,3,6,4,4,5,2,3,7,1,3,6
middle_left,0,7,0,2,0,1,13,3,3,0,3,3,21,1,6,3,2,2,5,7,5,3,4,3,4
middle_outside,2,2,0,2,0,3,5,1,2,0,0,2,5,0,3,2,2,2,1,0,0,4,1,1,2
middle_right,2,11,0,5,0,5,16,4,2,2,8,6,31,3,5,6,8,3,7,8,8,9,5,5,8
