actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,3,0,0,2,4,5,7,10,7,0,7,3,2,3,2,2,0,8,0,2,1,4,2,1
above_inside,0,0,0,1,0,0,2,3,1,0,0,3,0,0,0,0,2,0,3,0,1,0,1,0,0
above_left,1,6,0,2,4,0,4,4,6,3,0,7,4,0,3,0,2,2,6,2,4,0,2,1,6
above_outside,3,1,0,0,1,1,2,2,3,1,1,5,7,6,3,0,1,0,8,0,4,0,4,0,3
above_right,1,1,0,1,2,1,7,8,4,0,0,4,3,6,1,0,2,0,3,3,2,1,1,4,3
below_center,3,3,1,0,1,4,5,14,6,4,0,8,6,1,1,0,2,0,2,2,1,1,1,2,8
below_inside,5,8,0,1,1,4,21,5,2,5,0,14,5,7,3,0,5,0,10,3,2,4,5,5,9
below_left,2,1,0,0,1,2,0,4,6,1,0,4,1,1,1,0,0,2,6,1,2,0,1,3,1
below_outside,1,1,0,0,0,2,2,1,4,0,0,5,1,1,0,0,0,0,3,1,0,0,1,0,0
below_right,3,4,1,1,5,2,3,8,5,3,2,7,3,6,2,0,6,1,6,6,3,3,4,7,8
high_center,2,1,0,2,1,4,1,6,4,3,0,10,9,18,3,0,2,1,10,9,11,0,4,7,11
high_inside,1,2,0,0,1,2,1,6,3,2,0,4,3,3,1,0,5,0,4,3,3,0,1,2,1
high_left,4,1,0,3,1,4,2,3,2,1,1,6,13,4,2,2,4,2,13,4,10,1,7,3,10
high_outside,2,1,0,0,1,5,3,8,3,4,2,7,2,3,1,2,2,1,7,2,2,1,3,1,2
high_right,4,0,0,1,1,6,2,12,2,3,1,6,5,6,3,2,4,4,5,4,1,0,5,6,10
low_center,0,3,0,2,3,12,1,15,6,3,0,10,8,7,2,4,3,2,11,4,6,0,8,3,16
low_inside,1,0,0,1,3,2,6,5,1,2,0,10,2,4,5,0,7,2,6,4,7,1,4,5,11
low_left,2,2,0,0,0,4,1,11,5,0,0,5,5,2,2,1,2,2,7,2,10,0,5,3,1
low_outside,1,2,0,1,0,3,2,2,4,1,1,2,1,0,0,0,0,0,3,0,1,1,3,0,1
low_right,0,4,1,2,2,3,6,13,1,8,0,5,9,10,1,1,5,1,13,6,9,1,6,3,17
middle_center,2,2,1,2,0,5,2,9,1,7,2,13,15,8,5,4,8,5,21,7,12,4,9,10,20
middle_inside,3,0,0,1,1,1,6,3,2,4,0,8,9,4,2,2,2,1,5,4,0,2,5,2,6
middle_left,4,2,4,1,2,6,4,9,4,4,3,3,9,10,6,2,2,3,4,4,9,2,9,3,5
middle_outside,0,1,0,0,0,2,2,4,1,2,1,3,3,3,1,1,2,2,5,2,0,0,8,4,7
middle_right,6,3,0,1,4,5,4,5,3,5,0,11,7,15,4,3,5,3,14,5,9,1,8,8,24
